,year,month,day,hour,rainfall_6h,totalCloud,WD,WV,Transformation_3h,dewPoint,visibility,temperature,temperatureChange_24h,transformer_24h,rainfall_ww,rainfall_yc,WV_x,WV_y,rainfall
2018-01-30,2018.0,1.0,30.0,12.5,0.0,7.875,307.5,8.625,7.0,-23.087500000000002,30.0,-19.4875,-2.75,1.0,0.9,0.5,8.328009329125,-0.6582573635000013,0.0
2018-01-31,2018.0,1.0,31.0,12.5,0.0,5.0,246.25,3.0,-6.5,-26.5875,30.0,-15.1375,3.0,1.5,0.0,0.0,1.1317491881250001,-0.84192396475,0.0
2018-02-01,2018.0,2.0,1.0,12.5,0.0,5.0,271.875,6.5625,5.5625,-23.3625,29.9375,-16.8875,-1.4375,-1.0,0.0,0.0,3.2972533686875005,-2.218180027875001,0.0
2018-02-03,2018.0,2.0,3.0,12.5,0.0,4.875,255.0,3.875,-1.375,-25.562499999999996,29.875,-14.95,1.125,-1.625,0.0,0.0,1.120719131375,-0.6451372507500002,0.0
2018-02-04,2018.0,2.0,4.0,12.5,0.0,4.5,262.5,4.0,2.875,-26.5625,30.0,-14.462499999999999,0.125,0.375,0.0,0.0,1.8218055975,-0.754075568625,0.0
2018-02-06,2018.0,2.0,6.0,12.5,0.0,5.5,218.75,4.125,-2.25,-27.075,29.75,-12.0,0.0,-1.875,0.0,0.0,2.74118524,-0.47313606087500004,0.0
2018-02-07,2018.0,2.0,7.0,12.5,0.0,7.0,207.5,4.25,-4.375,-27.0375,29.5,-9.575,1.75,-0.75,0.0,0.0,-2.585973197,0.75923215325,0.0
2018-02-08,2018.0,2.0,8.0,12.5,0.0,7.0,281.25,8.0,-1.875,-24.325,30.0,-11.825,-1.125,-4.25,0.0,0.0,6.3642222985000005,0.26408572662499874,0.0
2018-02-09,2018.0,2.0,9.0,12.5,0.2,8.0,307.5,7.375,5.75,-22.1625,26.625,-18.75,-5.375,2.125,0.0,0.0,6.990275995125,-0.9848077530000009,0.8
2018-02-10,2018.0,2.0,10.0,12.5,0.0125,5.5,155.0,4.75,1.875,-24.2625,30.0,-18.924999999999997,-0.5,3.0,0.0,0.0,3.758770483125,0.5985352508749999,0.05
2018-02-11,2018.0,2.0,11.0,12.5,0.0,3.5,205.0,6.25,4.625,-24.775,30.0,-14.587499999999999,3.75,1.75,0.0,0.0,5.245222331125,-0.6048117100000003,0.0
2018-02-12,2018.0,2.0,12.0,12.5,0.0,4.875,158.75,3.125,-4.75,-25.375,29.625,-8.6875,4.5,0.625,0.0,0.0,-2.6785912095000004,0.9241200266249999,0.0
2018-02-13,2018.0,2.0,13.0,12.5,0.0,6.125,220.0,5.25,-6.5,-27.5,27.625,-3.2750000000000004,3.875,-3.625,0.0,0.0,-1.3906189972499998,1.0975955528749999,0.0
2018-02-14,2018.0,2.0,14.0,12.5,0.0,6.0,206.25,5.0,6.0,-18.787499999999998,25.75,-5.7875,-2.625,-0.375,0.0,0.0,3.867328565875,-0.8946289393750003,0.0
2018-02-15,2018.0,2.0,15.0,12.5,0.0,6.0,212.5,5.625,-0.25,-18.9125,28.75,-5.475,0.625,1.375,0.0,0.0,3.4410856648749997,0.06853544099999936,0.0
2018-02-16,2018.0,2.0,16.0,12.5,0.0,7.0,163.75,4.875,0.125,-18.0125,28.0,-3.6625,2.0,0.375,0.0,0.0,1.5493816953750001,1.1172048573749997,0.0
2018-02-17,2018.0,2.0,17.0,12.5,0.0125,8.0,278.75,8.125,1.5,-14.6,30.0,-11.125,-5.375,0.25,0.25,0.1,7.399051026875,-0.5258088390000013,0.05
2018-02-18,2018.0,2.0,18.0,12.5,0.0125,7.875,187.5,3.625,-0.5,-14.225,29.75,-10.225000000000001,0.125,0.125,0.0,0.05,-2.3582770885,0.428922179375,0.05
2018-02-19,2018.0,2.0,19.0,12.5,0.0,7.5,227.5,6.125,-2.0,-14.3,25.0,-11.287500000000001,-0.25,-0.875,0.0,0.0,2.544863442,0.008813328249999794,0.0
2018-02-20,2018.0,2.0,20.0,12.5,0.35,8.125,340.0,6.5,3.5,-16.1125,26.25,-13.9375,-2.25,0.875,1.5,2.5,6.0028444415,-1.3659236706250009,1.4
2018-02-21,2018.0,2.0,21.0,12.5,0.1,4.875,250.0,3.625,-0.75,-20.3375,30.0,-15.124999999999998,-1.125,0.75,0.0,0.0,1.823140288,-0.20860600500000026,0.4
2018-02-22,2018.0,2.0,22.0,12.5,0.0,3.75,255.0,4.375,-4.75,-22.450000000000003,29.375,-7.187499999999999,5.625,-0.625,0.0,0.0,0.6444253115000003,-1.1952935346250002,0.0
2018-02-23,2018.0,2.0,23.0,12.5,0.0,7.875,338.75,8.5,7.125,-17.825,29.875,-9.85,-1.0,-0.75,0.0,0.0,7.526519346374999,-2.4864053051250012,0.0
2018-02-24,2018.0,2.0,24.0,12.5,0.0,6.5,208.75,3.625,1.625,-15.000000000000002,29.875,-8.212499999999999,0.75,3.75,0.0,0.0,1.9179865986249998,0.7714443533749997,0.0
2018-02-25,2018.0,2.0,25.0,12.5,0.0,4.75,148.75,4.25,-1.625,-20.0625,29.125,-4.075,3.0,-1.0,0.0,0.0,2.594904663625,0.7286918354999997,0.0
2018-02-26,2018.0,2.0,26.0,12.5,0.0,7.75,156.25,5.875,-4.625,-19.6625,28.5,-4.1625,0.0,-0.875,0.0,0.0,-2.7454383636250004,3.0471189477500005,0.0
