Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Label
4.379166667,-1.279703423,3.671744732,3.318181818,-0.073437373,0.205963808,0,9.1125,-0.64103533,0.616641108,0,9.5,-0.701537935,-0.114377408,0,11.86470588,-0.464202814,0.357357203,0,10.28235294,-0.107458029,0.878181225,0,7.608333333,1.368785352,-0.029279094,0,10.2952381,-0.358043094,0.206272365,0,9.784210526,-0.008235171,0.961146156,0,9.588888889,0.354199152,0.015016805,0,0
2.8375,-0.732471269,3.444295066,8.079166667,1.711489299,0.240370935,0,7.9125,0.18700064,-0.73670344,0,9.254545455,0.766845666,-0.820048885,0,10.48636364,1.149765182,-0.790084194,0,6.126086957,0,0,0,6.383333333,1.053316925,0.300212161,0,9.243478261,0.076263803,-0.13872796,0,8.791304348,0.413192008,-1.093893425,0,6.885,1.791846072,0.823539341,0,0
-0.520833333,0.905627946,-0.374250162,2.576190476,1.989016619,-0.362646137,0.914285714,2,0.565531387,-0.755223958,0,7.355555556,0.104685897,-1.794418728,0,8.93,1.395571815,-0.605268668,0,3.475,0,0,0,2.318181818,1.166519158,-0.514131709,0,5.03125,0.509793652,-0.911886634,0,6.616666667,0.348581857,-1.910863178,0,2.915384615,2.515344534,0.225584459,0,0.2
3.356521739,-0.396898527,3.01133112,8.343478261,0.449122608,-0.203621859,0,6.7,0.346732459,-0.996218444,0,8.852173913,0.209956738,-0.799450305,0,10.64347826,1.178433635,-0.290608418,0,5.926086957,0.510767089,0.228217824,0,5.583333333,0.946223039,-0.081565965,0,8.856521739,0.242934142,-0.15580889,0,8.681818182,-0.107809887,-1.118956708,0,6.591304348,1.594691908,0.724134887,0,0
3.308333333,-0.561420811,3.700071122,8.05,1.811806617,-0.469700624,0,7.870833333,0.566192788,-0.421267815,0,8.7,0.695016782,-0.982771636,0,11.0875,1.154608515,-0.834365494,0,6.945833333,-0.177420467,0.276664258,0,5.625,1.039961975,0.269429836,0,8.675,0.657237287,-0.379286917,0,8.633333333,0.405937746,-1.039436358,0,6.275,2.238419031,0.15553541,0,0.2
1.360869565,1.22476754,-0.30680879,4.826086957,-1.184440417,-0.486388836,0.313043478,6.716666667,-0.193645896,0.833843651,0,4.495833333,0.248184628,-0.416945161,0,6.833333333,0.329830413,-0.46622242,0,4.654166667,-0.041639291,-0.041569814,0,4.675,1.551967105,-0.988319082,0,5.591666667,-0.00017881,-0.568833288,0,4.6625,-0.193429686,-0.020174703,0,3.5375,-0.406280149,-1.17965922,0,0.834782609
-0.8375,-0.296859463,3.010260451,3.09,-2.097743049,0.458588567,1.92,4.154166667,-0.321116699,0.732925615,0,2.35,0.318408009,-0.46890701,0,4.666666667,0.57357925,-0.2661069,0,1.720833333,-0.023763801,0.129193998,0,2.404166667,1.99592859,0.965801676,0,2.775,-1.058278434,0.328507332,0,2.341666667,0.207057936,-0.418101456,0,1.816666667,-0.218708321,0.466494327,0,1.3
2.041666667,-0.107055678,2.814461343,5.452173913,0.993292181,0.624090681,0,6.8,-0.29859307,-0.487970123,0,4.3,0.302816653,0.664332649,0,6.504166667,0.219049867,-0.437534293,0,5.2375,0,0,0,5.3875,0.870711144,0.257620556,0,5.991666667,-0.283370567,0.126159937,0,4.913043478,0.856753588,-0.287803319,0,4.125,0.780468531,0.36915748,0,0
1.779166667,3.490957436,-4.389723813,4.179166667,0.554845982,-0.723505686,0,6.320833333,-0.655516454,-0.091160395,0,4.491666667,0.193545783,-0.67423532,0,5.7,1.022133132,-0.496091311,0,4.041666667,0,0,0,5.495833333,1.609091488,-3.267413147,0,4.516666667,0.476792648,-0.851052637,0,4.170833333,0.459326934,-0.486937234,0,2.875,-0.494504015,-1.233417307,0,0
4.333333333,-0.64124308,3.978900639,7.6125,2.863276207,-0.235035428,0,8.929166667,-0.299873941,-0.630256148,0,7.904347826,0.623787278,-0.614309763,0,9.7375,0.965686978,-0.6049712,0,6.383333333,0,0,0,7.4,1.395063707,0.026877676,0,7.979166667,0.388444033,-0.690984312,0,7.7,0.277099197,-0.989092826,0,5.670833333,2.758333418,0.373043944,0,0
4.4,0.030202681,-0.037436552,5.925,0.461980786,-0.335732168,0,7.558333333,-0.969429814,1.826641672,0,5.066666667,-0.259377189,0.839901089,0,5.641666667,-0.218597357,-0.156846409,0,5.095833333,0.041430394,-0.000497015,0,8.429166667,2.604085098,-1.975727604,0,6.095833333,0.002633953,-0.032537449,0,4.804166667,0.148560314,-0.180034631,0,3.10952381,0.548816761,-0.652452523,0,0
0.525,-0.87877368,6.749497928,4.95,-1.109236006,0.154614933,1.1,6.570833333,-0.475442911,0.151110635,0,5.445833333,0.446391294,-0.44340478,0,6.958333333,0.063375234,-0.348266122,0,3.408333333,-0.297217129,0.453159537,0,4.095833333,2.014902602,1.882063131,0,5.120833333,-1.552972278,1.540599436,0,6.082608696,0.198074283,-0.499679026,0,3.3,0.479632982,-0.200655562,0,0.6
