year,month,day,hour,P,T,RH,RPH,WD,WV
2015,4,5,0,721.1,-5,49,0,64,6
2015,4,5,1,721.4,-2.8,50,0,73,4.5
2015,4,5,2,721.5,-0.9,47,0,76,4.2
2015,4,5,3,721.8,0.3,37,0,73,2.5
2015,4,5,4,721.7,1.4,50,0,73,3.6
2015,4,5,5,721.2,0.7,47,0,77,5.3
2015,4,5,6,720.7,1.8,52,0,76,5
2015,4,5,7,719.5,2.2,60,0,77,7
2015,4,5,8,719.2,1.1,64,0,77,9
2015,4,5,9,719.3,-0.3,70,0,83,7
2015,4,5,10,718.9,-1.7,85,0,77,8.7
2015,4,5,11,719,-2.7,93,0,77,10.4
2015,4,5,12,719.9,-3.3,93,0,73,10.6
2015,4,5,13,720.2,-3.7,96,0,77,10
2015,4,5,14,721,-4,96,0,79,7.9
2015,4,5,15,720.4,-4.3,95,0,74,10.5
2015,4,5,16,720.8,-4.3,94,0,65,9.1
2015,4,5,17,720.2,-4.6,96,0.2,71,12.5
2015,4,5,18,720.5,-4.6,95,1.4,56,10.8
2015,4,5,19,720.2,-5,95,2.5,68,10.2
2015,4,5,20,720.3,-5.1,95,3,66,9.3
2015,4,5,21,720.6,-5.7,94,2.8,77,7.8
2015,4,5,22,720.8,-5.9,94,1.3,80,7.3
2015,4,5,23,721.4,-6.1,94,1,79,6.2
2015,4,6,0,721.7,-6.7,93,0.3,78,7
2015,4,6,1,722.6,-6.9,93,0.5,75,5.5
2015,4,6,2,722.8,-6.6,93,0.4,74,5.6
2015,4,6,3,723.3,-6.2,93,0.2,75,4.6
2015,4,6,4,723.4,-5.3,94,0,71,3.9
2015,4,6,5,722.8,-4.7,94,0,66,2.7
2015,4,6,6,722.6,-3.6,96,0,69,2.2
2015,4,6,7,722.6,-3.1,96,0,50,2.4
2015,4,6,8,722.1,-3.8,95,0,62,3.4
2015,4,6,9,722.2,-4.4,95,0,56,2.9
2015,4,6,10,722.5,-5,95,0,66,3
2015,4,6,11,722.6,-5.9,94,0,68,3.4
2015,4,6,12,723.1,-6.1,94,0,74,3.2
2015,4,6,13,723.7,-6.4,94,0,71,3.1
2015,4,6,14,724,-6.4,94,0,76,3.6
2015,4,6,15,723.9,-6.2,94,0,73,2.4
2015,4,6,16,723.8,-6,94,0,72,2.4
2015,4,6,17,723.8,-6.3,94,0,92,2
2015,4,6,18,723.7,-6.1,94,0,159,1
2015,4,6,19,723.6,-6.2,94,0,113,1.5
2015,4,6,20,723.3,-6.2,94,0,0,0
2015,4,6,21,723.1,-6.1,94,0,169,1.7
2015,4,6,22,723,-6.2,94,0,144,1.6
2015,4,6,23,723.3,-6,94,0,142,2.2
2015,4,7,0,723.6,-4.7,95,0,126,2.4
2015,4,7,1,724.2,-3.9,95,0,114,2
2015,4,7,2,724.5,-2.9,96,0,86,2.2
2015,4,7,3,724.5,-2.6,97,0,69,1.8
2015,4,7,4,724.2,-2.9,96,0,75,2.1
2015,4,7,5,723.8,-2.2,97,0,202,4.1
2015,4,7,6,723.2,-1.5,97,0,215,4.3
2015,4,7,7,722.5,-1.7,93,0,240,4.8
2015,4,7,8,722.2,-1.8,89,0,232,5.5
2015,4,7,9,722.2,-1.3,85,0,234,5.9
2015,4,7,10,722.1,-2,91,0,228,6.1
2015,4,7,11,722.2,-3.1,93,0,222,5.4
2015,4,7,12,722.6,-3.7,97,0,216,7.6
2015,4,7,13,723.2,-4,97,0,217,2.8
2015,4,7,14,723.5,-4,96,0,219,3.6
2015,4,7,15,723.6,-3.9,97,0,213,6.4
2015,4,7,16,723.1,-3.7,97,0,212,5.5
2015,4,7,17,723.2,-3.7,97,0,218,6.7
2015,4,7,18,722.8,-3.9,97,0,264,1.3
2015,4,7,19,722.4,-4.1,97,0,213,3.8
2015,4,7,20,722.2,-3.7,92,0,324,0.9
2015,4,7,21,721.9,-3.2,86,0,63,1.2
2015,4,7,22,721.8,-3,80,0,187,1.8
2015,4,7,23,721.9,-3.2,81,0,26,2.2
2015,4,8,0,722.1,-1.8,80,0,43,4
2015,4,8,1,722.3,-0.1,73,0,68,4.5
2015,4,8,2,722.4,1,71,0,70,4.4
2015,4,8,3,722.6,1.6,74,0,66,2.9
2015,4,8,4,722.4,-0.5,89,0,271,1.5
2015,4,8,5,721.8,0.5,83,0,50,2.2
2015,4,8,6,721.5,0.6,82,0,115,1.5
2015,4,8,7,720.9,1.1,72,0,84,2.8
2015,4,8,8,720.7,1.1,71,0,75,3.7
2015,4,8,9,720.7,1.5,68,0,65,4
2015,4,8,10,720.8,0.2,70,0,72,5.2
2015,4,8,11,721,-1.1,71,0,71,5.8
2015,4,8,12,721.2,-2.5,95,0,67,6.3
2015,4,8,13,722.1,-2.8,87,0,75,4.3
2015,4,8,14,722.8,-2.5,77,0,88,3
