%[yyyymmdd]	[HHMMSS]	 Relative Cloudiness
%date	time	Ext	BRBG	CDOC	thick	thin	sun	hcf	BRmin	BRmid	Brmax
20190908	000000	1112	0.12	0.49	0.00	0.49	3	1.06	0.76	163131000000.00	1236280000000000.00
20190908	003000	1112	0.06	0.31	0.00	0.31	3	1.05	0.96	75934900000.00	1271600000000000.00
20190908	010000	1112	0.02	0.29	0.00	0.29	1	1.03	0.95	27172200000.00	1271600000000000.00
20190908	013000	1112	0.10	0.55	0.00	0.55	5	1.05	0.98	114188000000.00	971365000000000.00
20190908	020000	1112	0.11	0.13	0.00	0.13	5	1.00	0.94	111356000000.00	1094990000000000.00
20190908	023000	1112	0.10	0.17	0.00	0.17	0	1.00	0.97	121242000000.00	1006690000000000.00
20190908	030000	1112	-2	-2	-2	-2	9	-2.00	1.00	133461000000.00	883059000000000.00
20190908	033000	1112	-2	-2	-2	-2	9	-2.00	1.00	159331000000.00	971365000000000.00
20190908	040000	1112	-2	-2	-2	-2	9	-2.00	1.00	154105000000.00	918381000000000.00
20190908	043000	1112	-2	-2	-2	-2	9	-2.00	1.00	1.32	3.75
20190908	050000	1112	-2	-2	-2	-2	9	-2.00	1.00	1.33	2.66
20190908	053000	1112	0.03	0.23	0.01	0.22	0	1.02	0.77	127694000000.00	989026000000000.00
20190908	060000	1112	0.17	0.26	0.03	0.23	0	1.02	0.51	112942000000.00	953703000000000.00
20190908	063000	1112	-2	-2	-2	-2	9	-2.00	1.00	194551000000.00	971365000000000.00
20190908	083000	1112	0.02	0.13	0.00	0.13	0	1.01	0.80	14855500000.00	829115000000000.00
20190908	090000	1112	-2	-2	-2	-2	9	-2.00	1.00	19577900000.00	870979000000000.00
20190908	093000	1112	-2	-2	-2	-2	9	-2.00	1.00	321947000.00	1104250000000000.00
20190908	100000	1112	-2	-2	-2	-2	9	-2.00	1.00	231379000000.00	1156330000000000.00
20190908	103000	1112	-2	-2	-2	-2	9	-2.00	1.00	186340000000.00	1185160000000000.00
20190908	110000	1112	-2	-2	-2	-2	9	-2.00	1.00	342286000000.00	1695470000000000.00
20190908	113000	1112	-2	-2	-2	-2	9	-2.00	1.00	768895000000.00	2366600000000000.00
20190908	230000	1112	-2	-2	-2	-2	9	-2.00	1.00	194125000000.00	1368180000000000.00
20190908	233000	1112	-2	-2	-2	-2	9	-2.00	1.00	103213000000.00	1434780000000000.00
20190908	070000	1112	0.07	0.36	0.02	0.34	0	1.06	0.66	107932000000.00	1094990000000000.00
20190908	073000	1112	0.04	0.34	0.01	0.33	0	1.05	0.86	198254000000.00	1006690000000000.00
20190908	080000	1112	0.02	0.22	0.01	0.21	0	1.03	0.90	30856400000.00	991618000000000.00
