%[yyyymmdd]	[HHMMSS]	 Relative Cloudiness
%date	time	Ext	BRBG	CDOC	thick	thin	sun	hcf	BRmin	BRmid	Brmax
20190906	000000	1112	-2	-2	-2	-2	9	-2.00	1.00	161519000000.00	1854420000000000.00
20190906	003000	1112	0.01	0.00	0.00	0.00	3	0.92	0.97	180252000000.00	1660150000000000.00
20190906	010000	1112	0.00	0.00	0.00	0.00	1	0.93	0.98	211240000000.00	1801440000000000.00
20190906	013000	1112	0.00	0.00	0.00	0.00	3	0.95	0.96	235822000000.00	1942730000000000.00
20190906	020000	1112	0.00	0.00	0.00	0.00	3	0.96	0.96	210957000000.00	2031040000000000.00
20190906	023000	1112	0.00	0.00	0.00	0.00	3	0.96	0.96	182641000000.00	2119340000000000.00
20190906	030000	1112	0.00	0.02	0.00	0.02	3	0.97	0.96	138456000000.00	1766120000000000.00
20190906	033000	1112	0.00	0.07	0.00	0.07	3	0.95	0.98	94332900000.00	1094990000000000.00
20190906	040000	1112	0.01	0.13	0.00	0.13	3	0.99	0.97	147385000000.00	1783780000000000.00
20190906	043000	1112	0.02	0.32	0.00	0.32	3	1.04	0.96	128245000000.00	1412890000000000.00
20190906	050000	1112	0.05	0.60	0.00	0.60	3	1.02	0.98	155356000000.00	989026000000000.00
20190906	053000	1112	0.05	0.60	0.00	0.60	3	1.04	0.96	187826000000.00	936042000000000.00
20190906	060000	1112	0.26	0.31	0.00	0.31	3	1.03	0.92	90996200000.00	1006690000000000.00
20190906	063000	1112	0.21	0.23	0.02	0.21	0	1.01	0.47	201252000000.00	1074080000000000.00
20190906	070000	1112	0.03	0.21	0.00	0.21	0	1.02	0.66	192018000000.00	1200960000000000.00
20190906	073000	1112	0.02	0.23	0.01	0.22	0	1.02	0.73	188568000000.00	1006690000000000.00
20190906	080000	1112	0.05	0.21	0.01	0.20	0	1.01	0.87	190082000000.00	918381000000000.00
20190906	083000	1112	0.06	0.23	0.02	0.21	0	1.03	0.68	150414000000.00	1191030000000000.00
20190906	090000	1112	0.11	0.25	0.01	0.24	0	1.03	0.75	233912000000.00	1094990000000000.00
20190906	093000	1112	-2	-2	-2	-2	9	-2.00	1.00	246707000000.00	1006690000000000.00
20190906	100000	1112	-2	-2	-2	-2	9	-2.00	1.00	271228000000.00	1006690000000000.00
20190906	103000	1112	-2	-2	-2	-2	9	-2.00	1.00	338270000000.00	1342250000000000.00
20190906	110000	1112	-2	-2	-2	-2	9	-2.00	1.00	348295000000.00	1359910000000000.00
20190906	113000	1112	-2	-2	-2	-2	9	-2.00	1.00	668476000000.00	2031040000000000.00
20190906	230000	1112	-2	-2	-2	-2	9	-2.00	1.00	470516000000.00	2031040000000000.00
20190906	233000	1112	-2	-2	-2	-2	9	-2.00	1.00	562944000000.00	2084020000000000.00
