%[yyyymmdd]	[HHMMSS]	 Relative Cloudiness
%date	time	Ext	BRBG	CDOC	thick	thin	sun	hcf	BRmin	BRmid	Brmax
20190910	000000	1112	-2	-2	-2	-2	9	-2.00	1.00	90440600000.00	1208760000000000.00
20190910	003000	1112	-2	-2	-2	-2	9	-2.00	1.00	209793000000.00	1065580000000000.00
20190910	010000	1112	0.11	0.16	0.00	0.16	3	1.00	0.93	79353900000.00	1024350000000000.00
20190910	010000	1112	0.11	0.16	0.00	0.16	3	1.00	0.93	79353900000.00	1024350000000000.00
20190910	013000	1112	-2	-2	-2	-2	9	-2.00	1.00	136927000000.00	936042000000000.00
20190910	020000	1112	-2	-2	-2	-2	9	-2.00	1.00	192662000000.00	971365000000000.00
20190910	023000	1112	-2	-2	-2	-2	9	-2.00	1.00	195174000000.00	936042000000000.00
20190910	030000	1112	-2	-2	-2	-2	9	-2.00	1.00	190494000000.00	847736000000000.00
20190910	033000	1112	-2	-2	-2	-2	9	-2.00	1.00	198763000000.00	900720000000000.00
20190910	040000	1112	-2	-2	-2	-2	9	-2.00	1.00	194639000000.00	900720000000000.00
20190910	043000	1112	-2	-2	-2	-2	9	-2.00	1.00	210319000000.00	926143000000000.00
20190910	050000	1112	-2	-2	-2	-2	9	-2.00	1.00	184270000000.00	893276000000000.00
20190910	053000	1112	0.13	0.29	0.02	0.27	0	1.03	0.74	177410000000.00	812414000000000.00
20190910	060000	1112	0.10	0.27	0.02	0.25	3	1.05	0.72	159784000000.00	936042000000000.00
20190910	063000	1112	-2	-2	-2	-2	9	-2.00	1.00	179979000000.00	847736000000000.00
20190910	070000	1112	-2	-2	-2	-2	9	-2.00	1.00	171138000000.00	847736000000000.00
20190910	073000	1112	-2	-2	-2	-2	9	-2.00	1.00	207677000000.00	953703000000000.00
20190910	080000	1112	-2	-2	-2	-2	9	-2.00	1.00	171195000000.00	847736000000000.00
20190910	083000	1112	-2	-2	-2	-2	9	-2.00	1.00	225694000000.00	948126000000000.00
20190910	090000	1112	0.09	0.51	0.01	0.50	0	1.07	0.96	193151000000.00	989026000000000.00
20190910	093000	1112	-2	-2	-2	-2	9	-2.00	1.00	281871000000.00	1200960000000000.00
20190910	100000	1112	0.13	0.61	0.04	0.57	5	0.89	0.88	446197000000.00	2613850000000000.00
20190910	103000	1112	-2	-2	-2	-2	9	-2.00	1.00	267309000000.00	1183300000000000.00
20190910	110000	1112	0.04	0.23	0.02	0.21	8	0.97	0.89	660361000000.00	2454900000000000.00
20190910	113000	1112	-2	-2	-2	-2	9	-2.00	1.00	372738000000.00	1607170000000000.00
20190910	233000	1112	-2	-2	-2	-2	9	-2.00	1.00	392506000000.00	1642490000000000.00
