%[yyyymmdd]	[HHMMSS]	 Relative Cloudiness
%date	time	Ext	BRBG	CDOC	thick	thin	sun	hcf	BRmin	BRmid	Brmax
20190905	000000	1112	0.03	0.43	0.00	0.43	5	1.05	0.97	110542000000.00	1271600000000000.00
20190905	003000	1112	0.04	0.08	0.00	0.08	3	0.93	0.96	198532000000.00	1872080000000000.00
20190905	010000	1112	0.00	0.00	0.00	0.00	1	0.90	0.97	207563000000.00	1854420000000000.00
20190905	013000	1112	0.00	0.01	0.00	0.01	3	0.94	0.98	234741000000.00	2013370000000000.00
20190905	020000	1112	0.00	0.00	0.00	0.00	3	0.94	0.96	195185000000.00	2013370000000000.00
20190905	023000	1112	0.00	0.00	0.00	0.00	3	0.93	0.96	217285000000.00	2048700000000000.00
20190905	030000	1112	0.00	0.00	0.00	0.00	3	0.92	0.97	210797000000.00	2154660000000000.00
20190905	033000	1112	0.01	0.12	0.00	0.12	3	0.91	0.97	185303000000.00	2225310000000000.00
20190905	040000	1112	0.02	0.11	0.00	0.11	5	0.90	0.94	240621000000.00	2225310000000000.00
20190905	043000	1112	0.00	0.04	0.00	0.04	3	0.90	0.96	337884000000.00	2225310000000000.00
20190905	050000	1112	0.01	0.06	0.00	0.06	3	0.91	0.96	295604000000.00	2278290000000000.00
20190905	053000	1112	0.02	0.17	0.00	0.17	3	0.92	0.96	257114000000.00	2278290000000000.00
20190905	060000	1112	0.02	0.23	0.00	0.23	3	0.91	0.96	153790000000.00	2189990000000000.00
20190905	063000	1112	0.02	0.24	0.00	0.24	5	0.90	0.92	507075000000.00	2154660000000000.00
20190905	063000	1112	0.02	0.24	0.00	0.24	5	0.90	0.92	507075000000.00	2154660000000000.00
20190905	070000	1112	0.01	0.34	0.00	0.34	3	0.97	0.96	287674000000.00	2348940000000000.00
20190905	073000	1112	0.05	0.55	0.00	0.55	5	0.96	0.91	411131000000.00	2384260000000000.00
20190905	080000	1112	0.03	0.51	0.00	0.51	1	0.91	0.94	181091000000.00	1324590000000000.00
20190905	083000	1112	0.03	0.44	0.00	0.44	3	0.92	0.95	408118000000.00	2560870000000000.00
20190905	090000	1112	-2	-2	-2	-2	9	-2.00	1.00	518321000000.00	2631520000000000.00
20190905	093000	1112	-2	-2	-2	-2	9	-2.00	1.00	400884000000.00	2225310000000000.00
20190905	100000	1112	-2	-2	-2	-2	9	-2.00	1.00	276469000000.00	1094990000000000.00
20190905	103000	1112	-2	-2	-2	-2	9	-2.00	1.00	278061000000.00	1271600000000000.00
20190905	110000	1112	-2	-2	-2	-2	9	-2.00	1.00	238983000000.00	1165640000000000.00
20190905	113000	1112	-2	-2	-2	-2	9	-2.00	1.00	452340000000.00	2013370000000000.00
20190905	230000	1112	0.01	0.06	0.00	0.06	8	0.91	0.00	562486000000.00	2295950000000000.00
20190905	233000	1112	-2	-2	-2	-2	9	-2.00	1.00	651278000000.00	2366600000000000.00
20190905	073000	1112	0.05	0.55	0.00	0.55	5	0.96	0.91	411131000000.00	2384260000000000.00
20190905	113000	1112	-2	-2	-2	-2	9	-2.00	1.00	452340000000.00	2013370000000000.00
