%[yyyymmdd]	[HHMMSS]	 Relative Cloudiness
%date	time	Ext	BRBG	CDOC	thick	thin	sun	hcf	BRmin	BRmid	Brmax
20190829	070000	1112	-2	-2	-2	-2	9	-2.00	1.00	236662000000.00	2269670000000000.00
20190829	073000	1112	-2	-2	-2	-2	9	-2.00	1.00	207480000000.00	2384260000000000.00
20190829	080000	1112	-2	-2	-2	-2	9	-2.00	1.00	2.33	5.39
20190829	083000	1112	-2	-2	-2	-2	9	-2.00	1.00	2.29	9.36
20190829	090000	1112	-2	-2	-2	-2	9	-2.00	1.00	2.24	5.65
20190829	093000	1112	0.01	0.00	0.00	0.00	8	1.00	0.98	2.17	3.47
20190829	100000	1112	0.01	0.00	0.00	0.00	8	1.00	0.98	2.07	3.18
20190829	103000	1112	0.00	0.00	0.00	0.00	8	1.00	0.95	2.02	3.08
20190829	110000	1112	0.00	0.08	0.00	0.08	8	1.04	0.96	1.90	3.06
20190829	113000	1112	0.00	0.25	0.00	0.25	8	1.10	0.98	1.78	4.19
20190829	120000	1112	0.06	0.47	0.00	0.47	8	1.10	0.95	1.65	28.67
20190829	123000	1112	0.15	0.12	0.00	0.12	8	0.96	0.98	70943700000.00	1289270000000000.00
20190829	130000	1112	0.11	0.43	0.00	0.43	8	1.06	0.99	57912400000.00	1077330000000000.00
20190829	133000	1112	-2	-2	-2	-2	9	-2.00	1.00	43894200000.00	777092000000000.00
20190829	140000	1112	0.12	0.57	0.00	0.57	8	1.08	0.95	42686900000.00	759431000000000.00
20190829	143000	1112	0.25	0.35	0.03	0.32	8	1.01	0.88	50256500000.00	759431000000000.00
20190829	150000	1112	-2	-2	-2	-2	9	-2.00	1.00	42744400000.00	777092000000000.00
20190829	153000	1112	-2	-2	-2	-2	9	-2.00	1.00	51574700000.00	1054900000000000.00
20190829	160000	1112	-2	-2	-2	-2	9	-2.00	1.00	52764200000.00	988132000000000.00
20190829	163000	1112	-2	-2	-2	-2	9	-2.00	1.00	55069600000.00	866077000000000.00
20190829	170000	1112	0.02	0.33	0.00	0.33	8	1.04	0.57	38021300000.00	1283830000000000.00
20190829	173000	1112	-2	-2	-2	-2	9	-2.00	1.00	63130700000.00	935813000000000.00
20190829	180000	1112	-2	-2	-2	-2	9	-2.00	1.00	71002400000.00	992319000000000.00
20190829	183000	1112	-2	-2	-2	-2	9	-2.00	1.00	60163400000.00	939139000000000.00
20190829	190000	1112	-2	-2	-2	-2	9	-2.00	1.00	57332700000.00	777092000000000.00
20190829	193000	1112	-2	-2	-2	-2	9	-2.00	1.00	168568000000.00	1748460000000000.00
