%[yyyymmdd]	[HHMMSS]	 Relative Cloudiness
%date	time	Ext	BRBG	CDOC	thick	thin	sun	hcf	BRmin	BRmid	Brmax
20190914	003000	1112	0.11	0.63	0.00	0.63	5	1.06	0.94	366271000000.00	1695470000000000.00
20190914	010000	1112	0.13	0.82	0.00	0.82	1	1.06	0.95	128868000000.00	900720000000000.00
20190914	013000	1112	0.04	0.39	0.00	0.39	5	1.09	0.96	60791200000.00	1183300000000000.00
20190914	020000	1112	0.09	0.67	0.00	0.67	5	1.20	0.91	200591000000.00	1324590000000000.00
20190914	023000	1112	0.09	0.89	0.00	0.89	3	1.36	0.96	115027000000.00	1077330000000000.00
20190914	030000	1112	0.01	0.72	0.00	0.72	3	1.07	0.96	83916100000.00	1130320000000000.00
20190914	033000	1112	-2	-2	-2	-2	9	-2.00	1.00	232974000000.00	1412890000000000.00
20190914	040000	1112	0.18	0.26	0.00	0.26	3	1.02	0.98	250240000000.00	1342250000000000.00
20190914	043000	1112	0.11	0.48	0.00	0.48	3	1.06	0.94	151973000000.00	1412890000000000.00
20190914	050000	1112	-2	-2	-2	-2	9	-2.00	1.00	218001000000.00	1200960000000000.00
20190914	053000	1112	0.17	0.24	0.00	0.24	3	1.01	0.98	185103000000.00	936042000000000.00
20190914	060000	1112	-2	-2	-2	-2	9	-2.00	1.00	205025000000.00	847736000000000.00
20190914	063000	1112	0.09	0.47	0.00	0.47	3	1.04	0.96	155248000000.00	1395230000000000.00
20190914	070000	1112	-2	-2	-2	-2	9	-2.00	1.00	157977000000.00	936042000000000.00
20190914	073000	1112	-2	-2	-2	-2	9	-2.00	1.00	131422000000.00	847736000000000.00
20190914	080000	1112	-2	-2	-2	-2	9	-2.00	1.00	181982000000.00	936042000000000.00
20190914	083000	1112	-2	-2	-2	-2	9	-2.00	1.00	150607000000.00	1020050000000000.00
20190914	090000	1112	-2	-2	-2	-2	9	-2.00	1.00	222096000000.00	1074080000000000.00
20190914	093000	1112	-2	-2	-2	-2	9	-2.00	1.00	242039000000.00	1112440000000000.00
20190914	100000	1112	-2	-2	-2	-2	9	-2.00	1.00	254317000000.00	1216700000000000.00
20190914	103000	1112	-2	-2	-2	-2	9	-2.00	1.00	326865000000.00	1507400000000000.00
20190914	110000	1112	-2	-2	-2	-2	9	-2.00	1.00	515067000000.00	1872080000000000.00
20190914	113000	1112	-2	-2	-2	-2	9	-2.00	1.00	375733000000.00	1827820000000000.00
20190914	233000	1112	-2	-2	-2	-2	9	-2.00	1.00	460460000000.00	1571840000000000.00
