%[yyyymmdd]	[HHMMSS]	 Relative Cloudiness
%date	time	Ext	BRBG	CDOC	thick	thin	sun	hcf	BRmin	BRmid	Brmax
20190828	070000	1112	-2	-2	-2	-2	9	-2.00	1.00	96791900000.00	1378650000000000.00
20190828	073000	1112	-2	-2	-2	-2	9	-2.00	1.00	63588100000.00	1080050000000000.00
20190828	080000	1112	-2	-2	-2	-2	9	-2.00	1.00	66325200000.00	1200960000000000.00
20190828	083000	1112	-2	-2	-2	-2	9	-2.00	1.00	149643000000.00	2090280000000000.00
20190828	090000	1112	0.11	0.58	0.04	0.54	0	1.10	0.95	78273700000.00	1289270000000000.00
20190828	093000	1112	-2	-2	-2	-2	9	-2.00	1.00	155862000000.00	2313610000000000.00
20190828	100000	1112	0.12	0.58	0.00	0.58	8	1.05	0.92	125627000000.00	1695470000000000.00
20190828	103000	1112	0.04	0.23	0.00	0.23	8	0.95	0.90	117133000000.00	1872080000000000.00
20190828	110000	1112	0.12	0.59	0.01	0.58	8	1.05	0.88	38169100000.00	777092000000000.00
20190828	113000	1112	0.26	0.69	0.04	0.65	8	1.08	0.97	15077000000.00	635802000000000.00
20190828	120000	1112	0.17	0.68	0.01	0.67	8	1.05	0.96	5557440000.00	1077330000000000.00
20190828	123000	1112	0.11	0.75	0.01	0.74	8	1.06	0.95	38126000000.00	777092000000000.00
20190828	130000	1112	0.10	0.68	0.01	0.67	8	1.08	0.95	20370900000.00	1147980000000000.00
20190828	133000	1112	0.16	0.74	0.03	0.71	8	1.11	0.94	34906500000.00	724108000000000.00
20190828	140000	1112	0.09	0.65	0.01	0.64	8	1.02	0.95	60470700000.00	1253940000000000.00
20190828	143000	1112	0.27	0.83	0.03	0.80	8	1.05	0.96	137393000000.00	1730800000000000.00
20190828	150000	1112	0.14	0.60	0.02	0.58	8	0.99	0.95	77464100000.00	1501200000000000.00
20190828	153000	1112	0.20	0.61	0.02	0.59	8	0.98	0.84	164189000000.00	1854420000000000.00
20190828	160000	1112	0.06	0.47	0.01	0.46	8	0.96	0.88	109314000000.00	1801440000000000.00
20190828	163000	1112	0.06	0.36	0.00	0.36	8	0.96	0.96	115542000000.00	1801440000000000.00
20190828	170000	1112	0.02	0.29	0.01	0.28	8	0.96	0.96	99090200000.00	1642490000000000.00
20190828	173000	1112	-2	-2	-2	-2	9	-2.00	1.00	108935000000.00	1695470000000000.00
20190828	180000	1112	-2	-2	-2	-2	9	-2.00	1.00	140584000000.00	1677810000000000.00
20190828	183000	1112	-2	-2	-2	-2	9	-2.00	1.00	102319000000.00	1501200000000000.00
20190828	190000	1112	0.06	0.43	0.02	0.41	8	0.94	0.92	87256700000.00	1253940000000000.00
20190828	193000	1112	0.09	0.43	0.07	0.36	8	0.94	0.60	143741000000.00	1695470000000000.00
