%[yyyymmdd]	[HHMMSS]	 Relative Cloudiness
%date	time	Ext	BRBG	CDOC	thick	thin	sun	hcf	BRmin	BRmid	Brmax
20190911	003000	1112	0.03	0.55	0.00	0.55	5	1.04	0.83	179299000000.00	1607170000000000.00
20190911	010000	1112	0.08	0.24	0.00	0.24	5	1.03	0.96	260888000000.00	1218620000000000.00
20190911	013000	1112	0.15	0.91	0.00	0.91	5	1.03	0.96	199371000000.00	1024350000000000.00
20190911	020000	1112	0.04	0.62	0.00	0.62	3	1.03	0.98	127545000000.00	1289270000000000.00
20190911	023000	1112	0.00	0.00	0.00	0.00	3	0.91	0.98	256686000000.00	2278290000000000.00
20190911	030000	1112	0.00	0.05	0.00	0.05	3	0.97	0.99	249395000000.00	2313610000000000.00
20190911	033000	1112	0.00	0.08	0.00	0.08	3	0.95	0.96	261985000000.00	2401920000000000.00
20190911	040000	1112	0.00	0.06	0.00	0.06	3	0.97	0.96	286304000000.00	2348940000000000.00
20190911	043000	1112	0.00	0.05	0.00	0.05	3	0.98	0.96	297869000000.00	2578530000000000.00
20190911	050000	1112	0.00	0.05	0.00	0.05	3	0.99	0.98	447587000000.00	2419580000000000.00
20190911	053000	1112	0.00	0.10	0.00	0.10	3	0.97	0.96	422866000000.00	2384260000000000.00
20190911	060000	1112	0.00	0.15	0.00	0.15	3	0.97	0.96	269050000000.00	2348940000000000.00
20190911	063000	1112	0.00	0.18	0.00	0.18	3	0.96	0.98	243196000000.00	1925070000000000.00
20190911	070000	1112	0.01	0.31	0.00	0.31	3	0.95	0.98	248551000000.00	1713130000000000.00
20190911	073000	1112	0.00	0.17	0.00	0.17	3	0.89	0.98	270110000000.00	1607170000000000.00
20190911	080000	1112	0.00	0.22	0.00	0.22	3	0.92	0.98	264261000000.00	1624830000000000.00
20190911	083000	1112	0.18	0.66	0.02	0.64	3	1.09	0.96	232707000000.00	1165640000000000.00
20190911	090000	1112	0.17	0.81	0.02	0.79	0	1.07	0.91	289651000000.00	2031040000000000.00
20190911	093000	1112	0.25	0.67	0.05	0.62	5	0.92	0.90	81784300000.00	2295950000000000.00
20190911	100000	1112	0.16	0.52	0.03	0.49	5	0.94	0.83	162693000000.00	1342250000000000.00
20190911	103000	1112	0.42	0.48	0.23	0.25	8	1.03	0.00	36878400000.00	1218620000000000.00
20190911	110000	1112	0.09	0.44	0.04	0.40	8	0.98	0.88	467756000000.00	2348940000000000.00
20190911	113000	1112	-2	-2	-2	-2	9	-2.00	1.00	470197000000.00	1836760000000000.00
20190911	233000	1112	-2	-2	-2	-2	9	-2.00	1.00	297468000000.00	1448220000000000.00
