,Unnamed: 0,stationID,lon,lat,altitude,siteLevel,totalCloud,WD,WV,airPressure,Transformation_3h,pastWeather1,pastWeather2,rainfall_6h,lowCloudiness,lowCloudCover,lowCloudHigh,dewPoint,visibility,currentWeather,temperature,lowCloudiness.1,highCloudiness,flag1,flag2,temperatureChange_24h,transformer_24h,time,year,month,day,hour
20,20,52674.0,101.93,38.22,2094.0,16.0,7.0,360.0,2.0,9999.0,-2.0,0.0,0.0,0.0,9999.0,7.0,1500.0,-17.9,30.0,0.0,-12.6,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-03 11:00,2018.0,1.0,3.0,11.0
21,21,52674.0,101.93,38.22,2094.0,16.0,7.0,90.0,6.0,9999.0,-26.0,7.0,0.0,0.0,9999.0,7.0,1500.0,-16.6,21.0,70.0,-12.7,9999.0,9999.0,1.0,2.0,-3.0,-3.0,2018-01-03 14:00,2018.0,1.0,3.0,14.0
22,22,52674.0,101.93,38.22,2094.0,16.0,7.0,70.0,4.0,9999.0,2.0,7.0,7.0,9999.0,9999.0,7.0,1500.0,-16.3,6.0,70.0,-13.7,9999.0,9999.0,1.0,2.0,-4.0,-4.0,2018-01-03 17:00,2018.0,1.0,3.0,17.0
23,23,52674.0,101.93,38.22,2094.0,16.0,4.0,200.0,2.0,9999.0,15.0,7.0,0.0,0.1,9999.0,4.0,2500.0,-19.6,30.0,0.0,-17.5,9999.0,9999.0,1.0,2.0,-3.0,-4.0,2018-01-03 20:00,2018.0,1.0,3.0,20.0
24,24,52674.0,101.93,38.22,2094.0,16.0,9.0,160.0,1.0,9999.0,-6.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-20.9,30.0,0.0,-18.4,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-03 23:00,2018.0,1.0,3.0,23.0
25,25,52674.0,101.93,38.22,2094.0,16.0,9.0,220.0,2.0,9999.0,-24.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-22.4,30.0,0.0,-19.2,9999.0,9999.0,1.0,2.0,-4.0,-6.0,2018-01-04 02:00,2018.0,1.0,4.0,2.0
26,26,52674.0,101.93,38.22,2094.0,16.0,9.0,160.0,2.0,9999.0,-11.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-22.8,30.0,0.0,-20.1,9999.0,9999.0,1.0,2.0,-5.0,-6.0,2018-01-04 05:00,2018.0,1.0,4.0,5.0
27,27,52674.0,101.93,38.22,2094.0,16.0,0.0,270.0,3.0,9999.0,-8.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-22.0,30.0,0.0,-18.6,9999.0,9999.0,1.0,2.0,-3.0,-6.0,2018-01-04 08:00,2018.0,1.0,4.0,8.0
28,28,52674.0,101.93,38.22,2094.0,16.0,0.0,70.0,2.0,9999.0,0.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-16.6,30.0,0.0,-11.4,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-04 11:00,2018.0,1.0,4.0,11.0
29,29,52674.0,101.93,38.22,2094.0,16.0,0.0,90.0,4.0,9999.0,-18.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-14.8,30.0,0.0,-8.7,9999.0,9999.0,1.0,2.0,4.0,-5.0,2018-01-04 14:00,2018.0,1.0,4.0,14.0
30,30,52674.0,101.93,38.22,2094.0,16.0,0.0,70.0,3.0,9999.0,6.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-14.1,22.0,0.0,-9.9,9999.0,9999.0,1.0,2.0,4.0,-5.0,2018-01-04 17:00,2018.0,1.0,4.0,17.0
31,31,52674.0,101.93,38.22,2094.0,16.0,0.0,140.0,2.0,9999.0,11.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-17.8,9.0,0.0,-16.1,9999.0,9999.0,1.0,2.0,1.0,-5.0,2018-01-04 20:00,2018.0,1.0,4.0,20.0
32,32,52674.0,101.93,38.22,2094.0,16.0,9.0,180.0,1.0,9999.0,-5.0,4.0,0.0,0.0,9999.0,9999.0,9999.0,-20.0,6.0,10.0,-17.8,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-04 23:00,2018.0,1.0,4.0,23.0
