date,BRBG,thick,thin,,month,BRBG,thick,thin,,日云量,,,,,,,
2020/8/6,30.12,5.65,147.22,,,,,,,,,,,,,,
2020/8/7,26.8,0.79,48.76,,,,,,,,,,,,,,
2020/8/8,23.9,2.22,192.08,,,,,,,,,,,,,,
2020/8/9,44.96,3.43,250.67,,,,,,,,,,,,,,
2020/8/10,65.41,5.71,112.09,,,,,,,,,,,,,,
2020/8/11,72.46,4.02,121.17,,,,,,,,,,,,,,
2020/8/12,32.7,1.02,253.71,,,,,,,,,,,,,,
2020/8/13,54.01,9.79,233.06,,,,,,,,,,,,,,
2020/8/14,27.13,4.28,58.23,,,,,,,,,,,,,,
2020/8/15,45.55,1.06,265.39,,,,,,,,,,,,,,
2020/8/16,0,0,0,,,,,,,,,,,,,,
2020/8/17,64.92,9.06,127.78,,,,,,,,,,,,,,
2020/8/18,38.48,7.83,148.27,,,,,,,,,,,,,,
2020/8/19,12.11,0.87,88.45,,,,,,,,,,,,,,
2020/8/20,15.24,6.32,101.33,,,,,,,,,,,,,,
2020/8/21,53.49,17.15,117.06,,,,,,,,,,,,,,
2020/8/22,17.92,0.32,91.03,,,,,,,,,,,,,,
2020/8/23,22.79,5.12,119.53,,,,,,,,,,,,,,
2020/8/24,23.53,2.93,119.66,,,,,,,,,,,,,,
2020/8/25,31.87,6,212.96,,,,,,,,,,,,,,
2020/8/26,14.18,3.71,99.65,,,,,,,,,,,,,,
2020/8/27,48.97,2.35,195.65,,,,,,,,,,,,,,
2020/8/28,25.87,4.66,152.76,,,,,,,,,,,,,,
2020/8/29,2.11,1.17,26.75,,,,,,,,,,,,,,
2020/8/30,27.32,3.67,70.43,,,,,,,,,,,,,,
2020/8/31,21.37,2.01,151.75,,,,,,,,,,,,,,
2020/9/1,55.77,6.07,316.86,,,,,,,,,,,,,,
2020/9/2,7.82,1.69,95.19,,,,,,,,,,,,,,
2020/9/3,33.09,4.18,242.52,,,,,,,,,,,,,,
2020/9/4,19.72,7.07,100.18,,,,,,,,,,,,,,
2020/9/5,30.61,6.63,108.41,,,,,,,,,,,,,,
2020/9/6,26.59,3.58,116.71,,,,,,,,,,,,,,
2020/9/7,34.71,5.44,191.66,,,,,,,,,,,,,,
2020/9/8,28.28,0.2,67.92,,,,,,,,,,,,,,
2020/9/9,45.38,11.7,203.08,,,,,,,,,,,,,,
2020/9/10,44.94,14.96,218.86,,,,,,,,,,,,,,
2020/9/11,47.31,5.32,268.63,,,,,,,,,,,,,,
2020/9/12,38.21,2.35,101.69,,,,,,,,,,,,,,
2020/9/13,20.96,3.05,72.52,,,,,,,,,,,,,,
2020/9/14,46.42,11.41,178.63,,,,,,,,,,,,,,
2020/9/15,46.28,8.46,221.03,,,,,,,,,,,,,,
2020/9/16,66.27,4.94,91.54,,,,,,,,,,,,,,
2020/9/17,23.54,4.45,151.12,,,,,,,,,,,,,,
2020/9/18,19.31,8.14,82.77,,,,,,,,,,,,,,
2020/9/19,36.82,8.27,225.86,,,,,,,,,,,,,,
2020/9/20,63.77,10.88,148.5,,,,,,,,,,,,,,
2020/9/21,14.35,9.71,28.26,,,,,,,,,,,,,,
2020/9/22,99.82,18.32,290.13,,,,,,,,,,,,,,
2020/9/23,80.92,17.37,217.26,,,,,,,,,,,,,,
2020/9/24,59.24,15.17,171.02,,,,,,,,,,,,,,
2020/9/25,68.36,12.78,158.87,,,,,,,,,,,,,,
2020/9/26,74.23,18.91,143.68,,,,,,,,,,,,,,
2020/9/27,70.41,24.81,177.38,,,,,,,,,,,,,,
2020/9/28,24.04,19.89,15.36,,,,,,,,,,,,,,
2020/9/29,27.85,18.84,70.46,,,,,,,,,,,,,,
2020/9/30,23.36,22.21,22.75,,,,,,,,,,,,,,
2020/10/1,71.44,30.76,132.69,,,,,,,,,,,,,,
2020/10/2,77.88,27.38,132.92,,,,,,,,,,,,,,
2020/10/3,66.25,29.27,88.55,,,,,,,,,,,,,,
2020/10/4,63.16,27.22,164.55,,,,,,,,,,,,,,
2020/10/5,76.47,37.46,228.06,,,,,,,,,,,,,,
2020/10/6,90.95,41.64,116.61,,,,,,,,,,,,,,
2020/10/7,66.93,45.14,147.79,,,,,,,,,,,,,,
2020/10/8,109.73,40.21,131.33,,,,,,,,,,,,,,
2020/10/9,79.85,42.87,198.6,,,,,,,,,,,,,,
2020/10/10,61,42.38,191.48,,,,,,,,,,,,,,
2020/10/11,33.15,34.35,5.29,,,,,,,,,,,,,,
2020/10/12,108.73,43.08,119.15,,,,,,,,,,,,,,
2020/10/13,31.57,31.26,8.79,,,,,,,,,,,,,,
2020/10/14,97.85,42.47,245.5,,,,,,,,,,,,,,
2020/10/15,81.63,43.76,191.18,,,,,,,,,,,,,,
2020/10/16,46.03,37.09,104.78,,,,,,,,,,,,,,
2020/10/17,82.96,41.63,113.76,,,,,,,,,,,,,,
2020/10/18,49.99,36.79,191.36,,,,,,,,,,,,,,
2020/10/19,171.74,57.07,142.15,,,,,,,,,,,,,,
2020/10/20,106.45,45.23,218.2,,,,,,,,,,,,,,
2020/10/21,53.6,44.57,108.51,,,,,,,,,,,,,,
2020/10/22,56.04,46.87,102.28,,,,,,,,,,,,,,
2020/10/23,103.94,60.96,172.79,,,,,,,,,,,,,,
2020/10/24,88.06,45.5,201.31,,,,,,,,,,,,,,
2020/10/25,166.53,66.5,127.25,,,,,,,,,,,,,,
2020/10/26,166.08,54.92,151.75,,,,,,,,,,,,,,
2020/10/27,60.62,48.74,13.51,,,,,,,,,,,,,,
2020/10/28,74.77,49.72,125.76,,,,,,,,,,,,,,
2020/10/29,52.42,41.65,164.87,,,,,,,,,,,,,,
2020/10/30,75.87,58.75,139.47,,,,,,,,,,,,,,
2020/10/31,134.42,74.33,209.51,,,,,,,,,,,,,,
2020/11/1,144.23,61.19,144.95,,,,,,,,,,,,,,
2020/11/2,96.07,63.65,248.59,,,,,,,,,,,,,,
2020/11/3,88.85,64.39,247.35,,,,,,,,,,,,,,
2020/11/4,178.04,67.32,189.46,,,,,,,,,,,,,,
2020/11/5,98.08,62.48,155.43,,,,,,,,,,,,,,
2020/11/6,67.56,57.88,142.8,,,,,,,,,,,,,,
2020/11/7,61.55,56.45,109.09,,,,,,,,,,,,,,
2020/11/8,149.87,68.42,150.51,,,,,,,,,,,,,,
2020/11/9,65.02,56.56,107.93,,,,,,,,,,,,,,
2020/11/10,3.77,0.58,35.26,,,,,,,,,,,,,,
2020/11/11,94.81,70.02,163.21,,,,,,,,,,,,,,
2020/11/12,125.72,63.75,209.41,,,,,,,,,,,,,,
2020/11/13,79.78,68.35,128.75,,,,,,,,,,,,,,
2020/11/14,90.03,70.54,168.42,,,,,,,,,,,,,,
2020/11/15,68.28,60.53,114.64,,,,,,,,,,,,,,
2020/11/16,153.84,73.74,250.78,,,,,,,,,,,,,,
2020/11/17,94.39,70.85,38.51,,,,,,,,,,,,,,
2020/11/18,89.92,66.94,242.65,,,,,,,,,,,,,,
2020/11/19,110.06,70.06,256.39,,,,,,,,,,,,,,
2020/11/20,142.71,74.21,68.27,,,,,,,,,,,,,,
2020/11/21,110.18,74.73,182.43,,,,,,,,,,,,,,
2020/11/22,139.24,67.84,88.45,,,,,,,,,,,,,,
2020/11/23,67.43,62.09,113.13,,,,,,,,,,,,,,
2020/11/24,106.5,84.96,137.58,,,,,,,,,,,,,,
2020/11/25,92.05,66.21,181.66,,,,,,,,,,,,,,
2020/11/26,81.34,64.68,151.34,,,,,,,,,,,,,,
2020/11/27,122.07,76.68,210.55,,,,,,,,,,,,,,
2020/11/28,76.53,60.67,121.9,,,,,,,,,,,,,,
2020/11/29,108.31,71.28,169.08,,,,,,,,,,,,,,
2020/11/30,140.88,73.1,172.25,,,,,,,,,,,,,,
