Date,R0002,R0003,R0004,R0005,R0006,R0007,R0008,WV5_x,WV5_y,WV6_x,WV6_y,WV7_x,WV7_y
2020-07-10,10.23978014,12.35146444,11.54540737,11.18963922,14.81618497,11.07,12.54094878,-1.294739511,0.785500793,-0.68879821,-0.058221837,-2.317568643,5.198201873
2020-08-30,18.4,17.15625,22.6,14.4,20.7,22.8,12.7,0.180074254,-2.320162318,-1.334202822,-0.973913298,5.848725412,-1.80068882
