date,R0001,R0002,R0003,R0004,R0005,R0006,R0007,R0008,WD_x,WD_y,,×ó,ÓÒ
2020-08-22,2.646522345,4.669953029,1.520539995,2.318957038,2.424557347,1.48921205,2.125504931,5.486345143,3.148528943,4.694325254,,13.99579521,8.685796673
2020-08-23,0.263074069,2.362099187,0.072766716,-0.574256175,-0.152109642,0.485320398,-0.261773496,3.528519185,14.4645298,9.684807588,,5.389128913,0.334511329
2020-08-29,23.6010051,29.43639979,25.5790761,21.07397205,25.67042797,22.5474322,27.82559856,29.62791707,1.22284618,0.818763564,,105.717365,99.64446383
2020-08-30,-1.524512138,-0.239948759,-1.875335768,-1.678626703,-1.441296172,-1.799295779,-1.846908862,0.725230739,1.739131478,2.592972453,,-3.068680491,-6.612012951
2020-08-31,-1.922643272,-1.241160068,1.449474443,0.604186497,-0.944744448,-1.601636124,-0.853805414,-0.57789131,-6.52846577,-1.312564177,,0.234609562,-5.322829258
2020-09-01,-2.517615586,-3.426670751,-2.468544308,-2.277863058,-2.63302031,-2.59487589,-2.542423489,-3.158586689,9.482455943,6.349031912,,-11.33166481,-10.28793528
2020-09-05,-1.027960414,-0.742138072,-1.351552703,-1.082498394,-1.441296172,-1.30205821,-1.747598517,-0.277630012,7.769864383,5.202356564,,-3.453819181,-5.518913313
2020-09-06,-3.212788,-3.327085689,-3.240920326,-2.876270021,-2.831641,-3.291145655,-3.038633,-3.358169459,-0.49556483,0.096125655,,-12.8024455,-12.37420766
2020-09-08,4.533418897,4.053105343,4.314414313,4.913118996,4.815255552,4.857991205,4.508953207,4.02215836,-11.96468829,-2.40553015,,17.30279701,18.71561886
2020-09-09,0.563609516,0.749574635,1.822819311,0.813549684,2.034565897,0.587444552,1.526494498,1.315863691,6.926076609,4.637393696,,4.701807321,4.712114463
2020-09-11,-3.113546098,-3.825011,-3.3377596,-2.975924,-2.831641,-3.291008486,-3.038633,-3.656512,4.833056765,3.236000443,,-13.7952066,-12.27482858
2020-09-13,5.194543976,8.62666754,5.166938387,7.4354813,6.040396915,4.137038908,5.759737672,8.343488,2.905131509,4.331429838,,29.57257523,21.13171747
2020-09-14,5.62583269,9.6282762,6.387946809,5.406612383,1.835945207,6.057057812,3.416539414,9.38913115,9.562557428,6.402664313,,30.81196654,16.93537512
2020-09-15,-3.212788,-3.725425938,-3.3377596,-2.975924,-2.831641,-3.390456,-3.038633,-3.656512,1.39253482,2.0762113,,-13.69562154,-12.473518
2020-09-17,-2.914856966,-3.72549476,-3.238994168,-2.876338938,-2.831641,-3.19183531,-2.939391098,-3.358375354,-1.357988793,-2.017750495,,-13.19920322,-11.87772437
2020-09-21,3.932628954,11.0818213,6.096723159,4.288761556,3.12697969,4.460475677,2.808579663,11.83590179,3.881547242,5.787224946,,33.30320781,14.32866398
