Date,R0002,R0003,R0004,R0005,R0006,R0007,R0008,WV5_x,WV5_y,WV6_x,WV6_y,WV7_x,WV7_y
2020-08-04,-2.930307254,-1.195680559,-1.368977,-2.78595,-1.053280269,-1.552698,0.123766135,2.185945152,-2.732139673,0.614940293,-0.768593288,-8.206395961,-5.990332222
2020-08-05,21.39991639,5.752945705,-1.368977,3.759504545,7.672466,-1.552698,2.645773857,-2.636003999,1.07477641,-0.136928231,0.817571145,-6.599121357,-4.817087731
2020-08-06,23.82295282,8.857956,-1.368977,21.73417384,24.62194637,-1.552698,8.28134439,-0.292189818,-0.81842636,0.133170904,-0.166445856,8.398138286,-2.585594751
2020-08-08,-1.358102,-1.845525393,-1.368977,-2.78595,-1.904337051,-1.552698,-1.911160522,-1.440239193,-0.307252645,0.089300352,-1.150588195,6.852625019,-2.109766555
2020-08-10,3.041898,0.379912643,-1.368977,8.11405,14.91004418,-1.552698,-0.809421851,1.556036555,1.362095534,0.948690419,-1.185736398,-7.704745933,-5.624148291
2020-08-11,-0.859906303,-0.611134909,-1.368977,1.008779542,-1.803505548,-1.552698,1.988631,-0.662151145,-1.854691432,-0.282482682,1.686647735,9.55169812,1.168210492
2020-08-12,24.641898,24.82984098,-1.368977,30.16828024,31.92185794,-1.552698,21.40503128,-1.785271714,-1.303175075,0.814327134,1.769087194,7.726258742,0.94495203
2020-08-13,-3.358171396,-3.142044,-1.368977,-2.686088696,-3.202534,-1.552698,-2.211369,1.201712005,1.051933228,0.936456355,2.034407152,-4.64195918,-0.990289835
2020-08-14,26.741898,30.36924963,-1.368977,16.20086471,18.997466,-1.552698,13.288631,-2.173478434,-0.463677839,0.08477821,-1.092322772,-10.51155994,-2.24247792
2020-08-15,0.239330339,0.878735221,-1.368977,1.41405,0.199828752,-1.552698,-0.512548736,-0.846815222,-0.618140354,-0.282323524,-0.206084584,2.50631474,5.444850264
2020-08-16,28.441898,27.53537535,-1.368977,31.51405,28.797466,-1.552698,16.50162614,0.849795403,0.743878747,0.50460827,1.096237608,7.451996473,-2.29429932
2020-08-17,36.641898,38.84983692,-1.368977,50.15081164,39.997466,-1.552698,38.588631,0.166447532,-2.144589156,0.624689362,1.357108102,7.683618052,-2.365610308
2020-08-19,-3.458102,-3.142044,-1.368977,-2.385393672,-3.202534,-1.552698,-2.211369,-1.417118754,-0.302320258,0.572026277,1.242700038,2.869354587,2.511724455
2020-08-20,-3.458102,-3.142044,0.132065391,-2.68595,-3.202534,-1.552698,-2.211369,1.764926366,-2.205922386,0.836106727,-1.04502181,-6.171856436,-4.505201876
2020-08-21,-2.258102,-1.306479946,-0.768977,-2.78595,-1.802534,0.049527313,-1.711369,2.661086386,-3.326002797,1.076772039,-1.345821328,10.67720964,1.305865007
2020-08-22,-0.958102,-2.112804234,-0.668490551,-2.08595,-1.702534,1.251196298,-1.211369,-2.718765236,1.108520602,0.581565391,-0.726879115,-6.522509407,-4.761164152
2020-08-23,29.66490008,19.75450772,23.13066406,25.33357745,16.61122556,42.747302,23.40642113,1.612541992,-2.015462257,0.12628786,-1.627152847,8.158066608,0.997763841
2020-08-24,-3.458102,-3.142044,-1.368977,-2.586088793,-3.202534,-1.552698,-2.211369,1.098625925,0.961695573,0.159375958,-2.053475631,-3.819873821,-0.814910703
2020-08-25,-1.858102,-0.706320049,1.631023,-2.68595,-1.502534,-1.552698,-0.711369,-1.951289497,-0.416277283,0.768528267,1.669591322,-4.835025599,-3.529370234
2020-08-26,-3.258102,-2.952570316,-1.368977,-2.68595,-3.202534,-1.552698,0.392247134,-2.084074076,-0.444604809,0.09244467,-1.191101092,-5.02210273,-3.665928862
2020-08-27,-3.458102,-3.142044,-1.368977,-1.48595,-3.202534,-0.752698,-2.211369,-1.93929296,-0.413718008,0.152447245,-1.964202803,-6.033418564,-4.404147911
2020-08-29,6.441898,7.17779674,9.13831973,9.21405,7.997466,11.7380723,4.384050847,3.077232791,-3.846130259,0.742083626,-0.927505483,12.19373496,1.491342056
2020-08-30,14.941898,14.014206,21.231023,11.61405,17.497466,21.247302,10.488631,0.180074254,-2.320162318,-1.334202822,-0.973913298,5.848725412,-1.80068882
2020-08-31,-3.258240793,-2.964704099,-1.168838015,-2.28595,-3.202534,-1.452558918,-2.211369,-1.232818648,-0.263002695,0.655485543,1.424011348,-4.328321926,-0.923380203
2020-09-01,-2.858102,-2.454693165,-1.068977,-2.78595,-2.902534,-0.353530755,-1.512339874,-1.804936122,-0.385055065,0.114609262,-1.476680231,3.322493683,0.40635413
2020-09-02,-3.358032507,-3.142044,-1.368977,-2.78595,-3.202534,-1.552698,-2.211369,-1.637127868,-0.349255783,0.151200989,-1.948145446,6.0586874,-1.865331316
2020-09-03,-3.158310189,-3.142044,-0.567864344,-2.78595,-3.202534,-1.552698,-2.211369,1.239072983,1.084637614,0.140344089,-1.808259981,-3.461783625,-0.738517726
2020-09-04,-3.458102,-3.142044,-1.368977,-2.78595,-3.202534,-1.552698,-2.211369,1.196794123,1.047628299,0.10442941,-1.345518181,-4.978857637,-3.634361718
2020-09-05,-2.958795481,-3.063484262,-1.068977,-2.78595,-3.002811393,-1.552698,-1.911785089,-1.337621558,-0.285360767,0.071934086,-0.926832967,-5.639347724,-4.116492372
2020-09-09,8.00210561,11.36913032,12.131023,0.102016805,5.379586582,6.141958489,13.4451407,-0.18196951,1.086503638,0.251638013,0.546671685,-4.89952503,-1.045237506
2020-09-10,-3.158310189,-2.966291356,-1.069600701,-2.78595,-3.202534,-1.452836696,-2.111783938,1.235185741,1.08123487,0.059334762,-0.764497293,-4.781858136,-1.020135103
2020-09-12,-3.258102,-3.142044,-1.368977,-2.78595,-3.202534,-1.552698,-2.211369,-0.176252254,1.052367041,0.626926718,-0.783574719,-6.825912254,-4.982635777
2020-09-13,8.541898,6.665103674,5.435748504,3.709539244,8.897466,12.647302,1.088631,0.598097613,-0.747542186,0,0,-5.01790144,-3.662862092
2020-09-14,-3.157893522,-2.969692115,-1.268977,-2.78595,-3.202534,-1.552698,-2.011923017,-1.485922058,0.605854155,0.534753064,-0.668369954,-4.237085748,-3.092898686
2020-09-15,-1.86032114,-1.504701092,-0.668490551,-2.48595,-0.204615888,2.247302,-1.511854774,0.178270114,-2.296916928,0.705997541,1.533746275,-3.781571435,-0.806739484
2020-09-16,0.341898,0.004591998,1.933316259,0.216134781,2.093787999,1.345289509,-2.211369,1.164247516,1.019138231,0.577129785,1.253787169,-4.315346394,-0.920612074
2020-09-17,-3.358102,-3.057685476,-1.368977,-2.68595,-3.002534,-1.253321701,-2.211369,-1.565672558,-0.334011903,0.111574247,-1.437575661,1.926452791,4.185127599
2020-09-20,-2.658102,-0.834625602,1.831023,-2.78595,-3.202534,-1.552698,-2.211369,-0.866041393,-2.425789887,0.411738766,-0.514618502,-7.102810902,-1.515274298
2020-09-21,5.035999319,8.77632335,11.431023,2.117455142,5.797466,3.547302,5.883009904,0.935610153,0.818997733,0.326851105,-0.408520256,-6.585943595,-1.405008693
2020-09-22,-3.058102,-2.683152987,-1.068768522,-2.78595,-2.802811585,-1.152975585,-2.111438396,0.583603427,1.26785085,0.395179249,-0.493921315,1.312931373,2.852281329
2020-09-23,-3.458102,-2.963936393,-1.368977,-2.78595,-3.202534,-1.552698,-2.211369,1.059627241,0.9275576,0.094811317,-1.221594096,-3.333457252,-0.711141289
2020-09-25,7.2344726,10.88287106,11.33984857,5.125037483,4.492122489,5.647302,3.092314113,0.996952549,-1.246057619,-0.122878921,0.73368552,-5.915019929,-4.317721767
2020-09-26,-2.159004151,-1.258084956,-1.069393089,-1.284907609,-2.702186536,-1.05200259,-2.111369,-2.515711549,1.025729638,0.927426616,-1.159159483,-6.820331942,-4.978562378
2020-09-27,-2.958795481,-2.446727728,-1.268907507,-1.386921548,-3.202534,-1.3531138,-2.211369,2.077943295,-2.597151768,1.021485846,-1.276720966,8.696033817,1.063559361
2020-09-28,-0.759975699,2.018246557,-0.469601566,-2.485741522,-1.903436151,0.043975597,-0.315319104,1.556247703,-1.945101911,0.672857512,-0.840982082,-6.6823551,-4.877844947
2020-09-29,-3.458102,-3.142044,-1.368977,-2.685810918,-3.202534,-1.552698,-2.211369,2.065033297,1.807652026,0.089681286,-1.155496329,-5.444839715,-1.161571917
2020-09-30,10.23239071,9.98716127,6.136234953,1.910788376,6.93972541,6.12597236,7.362038202,-0.529960516,-1.484424267,0.138789559,-1.788230683,8.197541552,1.002591783
2020-10-01,-2.159004151,-2.064199689,2.135890872,-1.78595,-2.902534,-1.151862927,-2.111438396,0.121019242,-1.559269467,0.458569395,0.996220329,7.008205786,-2.157666315
2020-10-02,-1.926187106,-3.142044,-1.368977,-2.78595,-1.694680597,-0.036908526,-2.211369,0,0,0,0,0,0
2020-10-12,-2.183765717,-0.413181026,-1.368977,-2.681753184,-2.491171968,-0.892652163,-1.311369,-0.615444683,-1.723866204,0.910253545,0.796801517,-5.279212801,-1.12623799
2020-10-13,-1.074826739,-1.802509116,-1.368977,-2.78595,-1.816808258,1.826363372,-1.967507865,2.985455515,-0.919153489,0.454233407,0.986800599,-7.822247705,-1.668754957
2020-10-14,-1.458102,-1.944040672,3.727483791,-2.033711194,-0.015182221,0.547302,-1.512339874,0.586059568,0.513014375,0.099751867,-1.285250492,5.406477992,-1.664530952
2020-10-15,-3.458102,-3.142044,-1.269046396,-2.18595,-3.202534,-1.552698,-2.211369,0.920989017,2.000805091,0.610620017,1.326543116,-4.229563881,-0.902311709
2020-10-28,-0.959836906,1.612672981,3.331023,-0.48595,-3.202534,1.947302,2.888631,-1.609950465,0.656424187,0.613389163,1.332558953,1.695927235,3.684321728
2020-10-29,8.241898,-1.766521612,-0.768977,-2.38595,6.171427219,5.447302,-2.211369,1.071208335,0.937695252,-0.203186482,1.213185944,-3.7795957,-2.758949728
2020-10-30,-0.558102,0.559949704,-0.568421058,-2.386227585,-1.60475314,1.245358905,-1.013033355,2.588424514,-3.235185156,-0.98710792,1.486109205,-8.137549186,-5.940076901
2020-10-31,-3.358171396,-3.142044,-1.368977,-2.686019396,-3.202534,-1.552698,-2.211369,1.090554666,0.954630298,0.095043965,-1.22459164,1.459730608,1.277792951
2020-11-04,-3.458102,-3.142044,-1.368977,-2.685250699,-3.102325232,-1.35186118,-2.211369,1.459789241,0.178538003,1.101563638,0.964267136,-3.117376486,-0.665043816
2020-11-05,-3.058933601,-3.00371547,-0.969254585,-2.78595,-2.703919042,-1.053737501,-2.211369,0.141062705,-1.817518975,0.18145171,-2.337910121,6.802366015,-2.094292957
2020-11-06,-3.458102,-3.142044,-1.368977,-0.390939605,-3.202534,-1.552698,-2.211369,-1.617970187,-0.345168789,0.200768908,-2.58680208,-5.167495091,-3.772059317
2020-11-17,-2.65865717,-2.264406869,-1.169531017,-2.5863658,-1.602534,0.244805467,-1.611785378,0.248184326,-3.19772487,0.330901035,-4.263486288,0,0
2020-11-18,-2.858518378,-2.922865918,-1.069600701,-2.78595,-3.102394918,-1.552698,-2.011507793,0.29694939,-3.826037149,-1.934593403,2.912566098,0,0
