,Date,W1,W2,W3,W4
0,2019-05-31,0.0,0.0,216.910409684358,0.0
1,2019-06-30,0.0,0.0,261.6014516129032,0.0
2,2019-07-31,0.0,0.0,223.2309339042012,0.0
3,2019-08-31,0.0,117.9031962773667,258.1934673366834,0.0
4,2019-09-30,0.0,534.2073542003616,,0.0
5,2019-10-31,0.0,632.9343195814233,357.8020924149956,0.0
6,2019-11-30,0.0,634.9324899677009,311.4132160670543,0.0
7,2019-12-31,790.3600201093445,894.932697683086,438.0179616710769,652.7778302072275
8,2020-01-31,603.6902557170215,764.2177560843943,380.2626057167327,534.3003059616158
9,2020-02-29,579.2407367070839,741.1502294404536,354.8561416648834,504.0310704615994
10,2020-03-31,488.7894009971677,646.4583011853827,304.8032977429382,398.3449314655822
11,2020-04-30,386.0711594711595,609.4078802759266,250.3453212411828,253.4721451978825
12,2020-05-31,560.0537673738113,741.4645771894932,286.2276656000589,398.9265959541963
13,2020-06-30,527.224583090379,691.8821758761557,270.6149500217297,394.8765846696331
14,2020-07-31,689.3318622321307,720.5570128479658,282.8548077606425,475.0745054892487
15,2020-08-31,720.7593381914845,766.2035140769249,288.8104056931525,487.0852909120423
16,2020-09-30,629.1120848490575,674.1495936495936,248.255148260565,481.4143090054666
