,Date,W1,W2,W3,W4
105,2019-08-14,0.0,0.0,,0.0
106,2019-08-15,0.0,0.0,,0.0
107,2019-08-16,0.0,0.0,,0.0
108,2019-08-17,0.0,0.0,,0.0
109,2019-08-18,0.0,0.0,,0.0
110,2019-08-19,0.0,0.0,,0.0
111,2019-08-20,0.0,0.0,,0.0
112,2019-08-21,0.0,0.0,,0.0
113,2019-08-22,0.0,0.0,,0.0
114,2019-08-23,0.0,0.0,,0.0
115,2019-08-24,0.0,0.0,215.5686274509804,0.0
116,2019-08-25,0.0,278.590618336887,205.20826709062,0.0
117,2019-08-26,0.0,586.8634453781513,,0.0
118,2019-08-27,0.0,585.1423562412342,,0.0
119,2019-08-28,0.0,496.4616457461645,,0.0
120,2019-08-29,0.0,337.9640718562874,,0.0
121,2019-08-30,0.0,511.1100210231255,,0.0
122,2019-08-31,0.0,473.8828451882845,,0.0
123,2019-09-01,0.0,445.3296089385475,,0.0
124,2019-09-02,0.0,327.5459317585302,,0.0
125,2019-09-03,0.0,483.0598591549296,,0.0
126,2019-09-04,0.0,513.9572529782761,,0.0
127,2019-09-05,0.0,795.6491596638656,,0.0
128,2019-09-06,0.0,582.9525139664804,,0.0
129,2019-09-07,0.0,472.7729805013927,,0.0
130,2019-09-08,0.0,566.4868871151654,,0.0
131,2019-09-09,0.0,771.018156424581,,0.0
132,2019-09-10,0.0,435.1461318051576,,0.0
133,2019-09-11,0.0,478.8840782122905,,0.0
134,2019-09-12,0.0,695.7007142857143,,0.0
135,2019-09-13,0.0,540.718771807397,,0.0
136,2019-09-14,0.0,456.0438413361169,,0.0
137,2019-09-15,0.0,335.675505931612,,0.0
138,2019-09-16,0.0,375.0941422594142,,0.0
139,2019-09-17,0.0,525.7315202231521,,0.0
140,2019-09-18,0.0,374.4595355383533,,0.0
141,2019-09-19,0.0,278.5017494751575,,0.0
142,2019-09-20,0.0,521.8087927424982,,0.0
143,2019-09-21,0.0,701.2418118466899,,0.0
144,2019-09-22,0.0,498.0356643356643,,0.0
145,2019-09-23,0.0,397.9455687369156,,0.0
146,2019-09-24,0.0,532.1413575927222,,0.0
147,2019-09-25,0.0,547.6613240418119,,0.0
148,2019-09-26,0.0,559.6948324022346,,0.0
149,2019-09-27,0.0,672.367759944173,,0.0
150,2019-09-28,0.0,686.8717770034843,,0.0
151,2019-09-29,0.0,783.465877437326,,0.0
152,2019-09-30,0.0,639.6499652052888,,0.0
153,2019-10-01,0.0,601.1103302881237,,0.0
154,2019-10-02,0.0,504.3923344947735,,0.0
155,2019-10-03,0.0,326.8703832752613,,0.0
