time,RPH,RPH_ld,RPH_jy,,,time,RPH,RPH_ld,RPH_jy,,,time,RPH,RPH_ld,RPH_jy,,time,RPH,RPH_ld,RPH_jy,,,,,,,,,,,,,,,
2020/8/27,0,0,9.4,,,2019/8/27,0,0.1,0,,,2018/8/27,0,0,0,,2014/8/27,0,0,0,,2015/8/27,0,1.4,0,,2016/8/27,0,0,0,,2017/8/27,17.8,14.4,6.7
2020/8/28,0,0,0,,,2019/8/28,5.9,0,19.5,,,2018/8/28,0.4,0,0,,2014/8/28,0,0,0,,2015/8/28,0,0,0,,2016/8/28,0,0,0,,2017/8/28,28.9,14.6,39.6
2020/8/29,16.4,19.6,8.8,,,2019/8/29,0,0,0,,,2018/8/29,0,0,0.2,,2014/8/29,2.6,3.9,5,,2015/8/29,0,0,0,,2016/8/29,10.6,6.7,2.8,,2017/8/29,15.9,13.4,21.6
2020/8/30,16.3,11.3,10.8,,,2019/8/30,26.3,20.5,15.8,,,2018/8/30,0.3,0,2.6,,2014/8/30,0.6,0.7,2.4,,2015/8/30,0.6,0.1,0,,2016/8/30,0.1,0,0,,2017/8/30,0,0,0.3
2020/8/31,0,0,0,,,2019/8/31,3.9,2.1,3,,,2018/8/31,0,0,0,,2014/8/31,0,0,0,,2015/8/31,0,0,0,,2016/8/31,0,0,0,,2017/8/31,0,0,0
2020/9/1,1.4,0.8,0.5,,,2019/9/1,0.8,0,0,,,2018/9/1,27.8,27.5,19,,2014/9/1,0,0,0,,2015/9/1,0,0,0,,2016/9/1,0,0,0,,2017/9/1,0,0,0
2020/9/2,0,0,0,,,2019/9/2,0,0,0,,,2018/9/2,2.9,1.2,2.2,,2014/9/2,0,0,0,,2015/9/2,10.5,1,12,,2016/9/2,0.2,0,0.3,,2017/9/2,0,0,0
2020/9/3,1.4,0,0,,,2019/9/3,0.9,0,1,,,2018/9/3,0,0,0,,2014/9/3,0,0,0,,2015/9/3,30.2,14.1,40.6,,2016/9/3,0.1,0,0,,2017/9/3,0,0.1,0
2020/9/4,0,0,0,,,2019/9/4,0.3,0,2.1,,,2018/9/4,12.1,4.7,5.8,,2014/9/4,0,0,0,,2015/9/4,0,0,0,,2016/9/4,0,0,0,,2017/9/4,1.4,0.2,0.1
2020/9/5,1,0.8,0.5,,,2019/9/5,0,0,0,,,2018/9/5,0,0,0.1,,2014/9/5,0,0,0,,2015/9/5,0,0,0,,2016/9/5,12.4,7.8,4.1,,2017/9/5,2.5,2.5,1.5
2020/9/6,0,0,0,,,2019/9/6,0.1,0,0,,,2018/9/6,0,0,0,,2014/9/6,4.1,2.5,6,,2015/9/6,0,0,0,,2016/9/6,0.1,0,0,,2017/9/6,0,0,0
2020/9/7,0,0,0,,,2019/9/7,0,0,24.3,,,2018/9/7,0,0,0,,2014/9/7,0.2,0.1,1.9,,2015/9/7,5.7,0.5,12.3,,2016/9/7,0.8,0,0,,2017/9/7,4.3,4,2.2
2020/9/8,4.8,1.8,2.1,,,2019/9/8,11.1,18.2,11,,,2018/9/8,0,0,0,,2014/9/8,21.9,15.3,31,,2015/9/8,9.1,3.7,6.2,,2016/9/8,2.5,1.1,2.1,,2017/9/8,1.7,0.2,1
2020/9/9,15.2,6.8,11.7,,,2019/9/9,42.5,48.7,34.4,,,2018/9/9,4.6,2,2.9,,2014/9/9,0,0,0,,2015/9/9,3.2,0.3,1.2,,2016/9/9,6.1,4.6,1.7,,2017/9/9,21.2,9.7,16.6
2020/9/10,0,0,0,,,2019/9/10,5.3,1.3,9.3,,,2018/9/10,0.2,0,0,,2014/9/10,24.3,6.7,24.5,,2015/9/10,10.8,8.3,5.1,,2016/9/10,1,0,0,,2017/9/10,0,0,0
2020/9/11,0,0,0,,,2019/9/11,4.2,1,5.1,,,2018/9/11,0,0,0,,2014/9/11,22.2,21.9,14.8,,2015/9/11,0,0,0,,2016/9/11,5,2.8,2.2,,2017/9/11,0,0,0
2020/9/12,6,0.9,2.6,,,2019/9/12,44.1,35.5,29.8,,,2018/9/12,6.4,0,0,,2014/9/12,0,0,0,,2015/9/12,0,0,0,,2016/9/12,5.9,3.6,3.9,,2017/9/12,0,0,0
2020/9/13,8.6,8.9,14.5,,,2019/9/13,7.7,7.4,13,,,2018/9/13,0.6,0.1,1.6,,2014/9/13,12.2,8.3,13.9,,2015/9/13,0.7,0,0,,2016/9/13,0,0,0.2,,2017/9/13,0.5,0,0.5
2020/9/14,2.2,3.5,4.6,,,2019/9/14,1.3,0.9,8.3,,,2018/9/14,9.8,8.6,10.3,,2014/9/14,36.1,18.5,29.7,,2015/9/14,0,0,0,,2016/9/14,0,0,0.4,,2017/9/14,2.8,1.8,0.6
2020/9/15,0.2,0,0,,,2019/9/15,0,0,0,,,2018/9/15,3.8,0.7,1.4,,2014/9/15,6.3,5.6,9.9,,2015/9/15,0,0,0,,2016/9/15,0.2,0,0,,2017/9/15,1.4,0.1,0.9
2020/9/16,5.7,2.5,6.3,,,2019/9/16,6.9,4.3,6,,,2018/9/16,0.3,0,1.2,,2014/9/16,27.8,24.8,27.9,,2015/9/16,23,10.2,19.3,,2016/9/16,0.1,0,0,,2017/9/16,0,0,0.1
2020/9/17,0,0,0,,,2019/9/17,0.3,0,0.8,,,2018/9/17,8.4,5.4,7.4,,2014/9/17,0.2,0.2,0.6,,2015/9/17,0.1,0,0,,2016/9/17,11.5,7.4,7,,2017/9/17,1.5,0,0.6
2020/9/18,0,0,0,,,2019/9/18,15.3,12.8,17.2,,,2018/9/18,5.6,4.5,5.2,,2014/9/18,0,0,0.3,,2015/9/18,0,0,0,,2016/9/18,16.6,4.8,18.2,,2017/9/18,0.6,1.5,1.6
2020/9/19,0,0,0.3,,,2019/9/19,3.1,0.7,0,,,2018/9/19,0.1,0,0.1,,2014/9/19,0,0,0,,2015/9/19,0.1,0,0,,2016/9/19,1.7,2.9,0.7,,2017/9/19,0,0,0
2020/9/20,7.2,2.7,12.9,,,2019/9/20,0,0,0,,,2018/9/20,0.1,0.8,0,,2014/9/20,0,0,0,,2015/9/20,0.3,0,0,,2016/9/20,1.7,0.4,1.1,,2017/9/20,0,0,0
2020/9/21,7.2,4.2,8.8,,,2019/9/21,0,0,0,,,2018/9/21,1,1,0,,2014/9/21,7.5,4.2,11.4,,2015/9/21,9,6.9,6,,2016/9/21,0,0,0.1,,2017/9/21,0,0,0
2020/9/22,0.4,0,0.9,,,2019/9/22,0,0,0,,,2018/9/22,0,0,0,,2014/9/22,31,28.5,27.6,,2015/9/22,0,0.1,0.1,,2016/9/22,0,0,0,,2017/9/22,3.4,3.2,2.8
2020/9/23,0,0,0,,,2019/9/23,0,0,0,,,2018/9/23,0,0,0.1,,2014/9/23,1.9,1.7,2,,2015/9/23,6.3,3.5,6.9,,2016/9/23,0,0,0,,2017/9/23,0,0,0
2020/9/24,7,3.3,3.5,,,2019/9/24,1.9,0,0.1,,,2018/9/24,6.4,0.7,6.4,,2014/9/24,0,0,0,,2015/9/24,0,0,0,,2016/9/24,0,0,0,,2017/9/24,0,0,0
2020/9/25,13.7,4.2,12.9,,,2019/9/25,0,0,1.6,,,2018/9/25,1.2,0.2,1.4,,2014/9/25,0.8,0,0,,2015/9/25,0,0,0,,2016/9/25,0,0,0,,2017/9/25,0.3,0,0
2020/9/26,0.2,0,0.2,,,2019/9/26,4,0.7,7.6,,,2018/9/26,0.6,0,0.3,,2014/9/26,0,0,0,,2015/9/26,0,0,0,,2016/9/26,0,0,0,,2017/9/26,4.6,1.5,1.8
2020/9/27,3.4,0,10.1,,,2019/9/27,0,0,0,,,2018/9/27,0.7,0.1,0,,2014/9/27,11.9,9.1,11.9,,2015/9/27,7.6,3.8,3.7,,2016/9/27,0,0,0,,2017/9/27,0,0,0
2020/9/28,4.9,0.7,3,,,2019/9/28,0,0,0,,,2018/9/28,0,0,0,,2014/9/28,0,0,0,,2015/9/28,3.3,0.4,8.6,,2016/9/28,0.1,0,0,,2017/9/28,0,0,0
2020/9/29,0,0,0,,,2019/9/29,0,0,0,,,2018/9/29,0,0,0,,2014/9/29,0,0,0,,2015/9/29,2.4,0.1,6.3,,2016/9/29,0.3,0,0,,2017/9/29,0,0,0
2020/9/30,20.4,7.4,16.7,,,2019/9/30,0,0,0,,,2018/9/30,0,0,0,,2014/9/30,11.9,14,13.5,,2015/9/30,4.9,2.4,2.1,,2016/9/30,0,0,0,,2017/9/30,0.7,0,0
2020/10/1,4.4,7.4,6.5,,,2019/10/1,0,0,0,,,2018/10/1,0,0,0,,2014/10/1,0,0,0,,2015/10/1,0,0,0,,2016/10/1,0,0.1,0.7,,2017/10/1,0,0.3,0.4
2020/10/2,10.1,1.6,6,,,2019/10/2,5.6,4.8,2.4,,,2018/10/2,0,0.4,2.8,,2014/10/2,0,0,0,,2015/10/2,0,0,0.1,,2016/10/2,0,0,0,,2017/10/2,11.4,8.9,12.7
2020/10/3,0,0,0.2,,,2019/10/3,2.6,2.6,2.2,,,2018/10/3,0,0,0,,2014/10/3,1.6,1.2,2,,2015/10/3,0,0,0,,2016/10/3,0,0,0,,2017/10/3,11.3,4.9,8.5
2020/10/4,0,4,4.4,,,2019/10/4,3.8,3.3,3.9,,,2018/10/4,0,0,0,,2014/10/4,0,0,0,,2015/10/4,0,0,0,,2016/10/4,5.7,6.2,4.5,,2017/10/4,0.1,0,0.7
2020/10/5,0,0.2,0.1,,,2019/10/5,16.6,13.1,13.1,,,2018/10/5,0,0,0,,2014/10/5,0,0,0,,2015/10/5,0.1,0,0,,2016/10/5,0.6,0.2,0.8,,2017/10/5,0,0,0.1
2020/10/6,0,0,0.3,,,2019/10/6,2.2,1.7,0.1,,,2018/10/6,0,0,0,,2014/10/6,0,0,0,,2015/10/6,2.8,0.7,0,,2016/10/6,14.5,9.1,6.6,,2017/10/6,5.3,2.2,1.3
2020/10/7,5.5,4.2,5.5,,,2019/10/7,0,0,0,,,2018/10/7,0.1,0.1,0,,2014/10/7,0,0,0,,2015/10/7,3.1,0,1.9,,2016/10/7,0,0,0.2,,2017/10/7,11,9.6,10.8
2020/10/8,1.1,0.3,0.6,,,2019/10/8,1.2,0.1,0,,,2018/10/8,1.9,2.8,1.8,,2014/10/8,0.6,0.2,0.1,,2015/10/8,6,5.4,7.6,,2016/10/8,5.4,5,7.7,,2017/10/8,13.3,9.4,12.7
2020/10/9,0,0,0.1,,,2019/10/9,1.9,0.7,0,,,2018/10/9,0,0,0,,2014/10/9,0,0,0,,2015/10/9,0,0,0,,2016/10/9,1.2,0.4,1.1,,2017/10/9,17.5,16.2,15.9
2020/10/10,0.1,0,0,,,2019/10/10,0,0,0,,,2018/10/10,0,0,0,,2014/10/10,6.4,3.3,3.7,,2015/10/10,0,0,0,,2016/10/10,0,0,0,,2017/10/10,0,0,0
2020/10/11,0,0,0,,,2019/10/11,0,0,0,,,2018/10/11,0,0,0,,2014/10/11,20,12,12.9,,2015/10/11,0,0,0,,2016/10/11,0,0,0.7,,2017/10/11,0.6,0.2,0.3
2020/10/12,2.9,1.2,3.7,,,2019/10/12,0,0,0,,,2018/10/12,0,0,0,,2014/10/12,0.6,0.5,1,,2015/10/12,0,0,0,,2016/10/12,0.1,0.1,0.3,,2017/10/12,0,0,0
2020/10/13,5.5,0.6,4.6,,,2019/10/13,0,7.7,4.6,,,2018/10/13,10.9,8.7,10.1,,2014/10/13,0,0,0,,2015/10/13,1.1,1.1,0.2,,2016/10/13,0,0,0.2,,2017/10/13,6,4.4,3
2020/10/14,0,0,1.6,,,2019/10/14,0.5,0,2.3,,,2018/10/14,0,0,0,,2014/10/14,0,0,0,,2015/10/14,0,0,0,,2016/10/14,1.8,1.9,3.9,,2017/10/14,0,0,1.6
2020/10/15,0,0,0,,,2019/10/15,18.2,8.9,24.3,,,2018/10/15,0,0,0,,2014/10/15,0,0,0,,2015/10/15,0,0,0,,2016/10/15,0,0.2,0,,2017/10/15,0,0,0.1
2020/10/16,0,0,0,,,2019/10/16,0,0,0,,,2018/10/16,0,0,0,,2014/10/16,2.9,4.1,0.2,,2015/10/16,0,0,0,,2016/10/16,0.1,0,0,,2017/10/16,1.3,1.7,6.7
2020/10/17,0,0,0,,,2019/10/17,0,0,0,,,2018/10/17,0,0,0,,2014/10/17,0,0,0,,2015/10/17,0.1,0,0,,2016/10/17,0,0,0,,2017/10/17,3.3,0,1.3
2020/10/18,0.5,0,0,,,2019/10/18,0,0,0,,,2018/10/18,0.4,1.8,4.9,,2014/10/18,2.5,1,0.8,,2015/10/18,0,0,0,,2016/10/18,0,0,0,,2017/10/18,0,0,0
2020/10/19,0.4,0,0,,,2019/10/19,0,0,0,,,2018/10/19,3,1.9,8.2,,2014/10/19,0,0,0,,2015/10/19,0,0,0,,2016/10/19,0,0,0.1,,2017/10/19,0,0,0
2020/10/20,0,0,0,,,2019/10/20,0,0,0,,,2018/10/20,4.2,2.9,1.5,,2014/10/20,0.2,0.1,0.5,,2015/10/20,0,0,0,,2016/10/20,2.8,2.9,6,,2017/10/20,0,0,0
2020/10/21,0,0,0,,,2019/10/21,0,0,0,,,2018/10/21,0,0,0,,2014/10/21,0,0,0,,2015/10/21,6.7,6.1,3.9,,2016/10/21,4.1,3.9,4.3,,2017/10/21,0,0,0
2020/10/22,0,0,0,,,2019/10/22,1.4,0.9,1.5,,,2018/10/22,0.6,0.1,0,,2014/10/22,0,0,0.1,,2015/10/22,3.9,1.7,0.4,,2016/10/22,3.8,2.3,1.9,,2017/10/22,0,0,0
2020/10/23,0,0,0,,,2019/10/23,9.6,7.5,8.9,,,2018/10/23,0,0,0,,2014/10/23,0,0,0,,2015/10/23,9.5,6.8,12.7,,2016/10/23,7.4,6.9,9.3,,2017/10/23,0,0,0
2020/10/24,0,0,0,,,2019/10/24,0.4,0,0,,,2018/10/24,1.3,0.7,0.4,,2014/10/24,0,0,0,,2015/10/24,1.3,0,3.1,,2016/10/24,3.1,1.6,0.4,,2017/10/24,6.6,2.2,8.4
2020/10/25,0,0,0,,,2019/10/25,0,0,0,,,2018/10/25,0,0,0,,2014/10/25,0,0,0,,2015/10/25,6.5,5.9,2.8,,2016/10/25,1.1,0.5,2.5,,2017/10/25,1.8,0,0
2020/10/26,9.7,7.2,6.1,,,2019/10/26,0,0,0,,,2018/10/26,0,0,0,,2014/10/26,0,0,0,,2015/10/26,0,0,0.2,,2016/10/26,3.4,2.6,3.7,,2017/10/26,0,0,0
2020/10/27,14.6,10.5,12.7,,,2019/10/27,0,0,0,,,2018/10/27,0,0,0,,2014/10/27,5.1,1.9,7.7,,2015/10/27,0,0,0,,2016/10/27,3.1,1.5,2,,2017/10/27,0.2,0,0
2020/10/28,0,0,0,,,2019/10/28,0,0,0,,,2018/10/28,0,0,0,,2014/10/28,7.3,3.9,2.5,,2015/10/28,0,0,0,,2016/10/28,3.9,2.8,2.3,,2017/10/28,0.7,0.1,0.1
2020/10/29,0.3,0,0,,,2019/10/29,0,0,0,,,2018/10/29,0,0,0,,2014/10/29,0,0,0,,2015/10/29,0,0,0,,2016/10/29,0.1,0,0,,2017/10/29,0,0,0
2020/10/30,4.4,1.5,3.9,,,2019/10/30,0,0,0,,,2018/10/30,0,0,0,,2014/10/30,6.8,6.6,4.7,,2015/10/30,2.2,1,3.8,,2016/10/30,0,0,0,,2017/10/30,0.6,0,0
2020/10/31,0,0,0,,,2019/10/31,9.1,8.9,11,,,2018/10/31,0,0,0,,2014/10/31,0,0,0,,2015/10/31,0.1,0,0,,2016/10/31,0,0,0,,2017/10/31,0,0,0
2020/11/1,0,0,0,,,2019/11/1,1.7,0.7,0.2,,,2018/11/1,0,0,0,,2014/11/1,0.7,0,0,,2015/11/1,0,0,0,,2016/11/1,0,0,0,,2017/11/1,0,0,0
2020/11/2,0,0,0,,,2019/11/2,0,0,0,,,2018/11/2,0,0,0,,2014/11/2,0,0,0,,2015/11/2,1.5,0,0,,2016/11/2,0,0,0,,2017/11/2,0,0,0
2020/11/3,0,0,0,,,2019/11/3,0,0,0,,,2018/11/3,3.5,2.9,1.8,,2014/11/3,0,0,0,,2015/11/3,0.7,0.3,0,,2016/11/3,0,0,0,,2017/11/3,0,0,0
2020/11/4,0.4,0.4,1,,,2019/11/4,0,0,0,,,2018/11/4,11,4.4,10.7,,2014/11/4,0,0,0,,2015/11/4,2.4,1.4,3.3,,2016/11/4,0,0,0,,2017/11/4,0,0,0
2020/11/5,0.4,0.1,0,,,2019/11/5,12.1,11.4,13.7,,,2018/11/5,11.8,3.5,7.7,,2014/11/5,0,0,0,,2015/11/5,5.6,3.8,6.7,,2016/11/5,0,0,0,,2017/11/5,0,0,0
2020/11/6,0,0,0,,,2019/11/6,0.1,0,0,,,2018/11/6,3.8,1.7,1.3,,2014/11/6,6.2,4.3,3.8,,2015/11/6,2.3,1.1,0.9,,2016/11/6,2.9,1.2,0.7,,2017/11/6,2,0,0
2020/11/7,0,0,0,,,2019/11/7,0,0,0,,,2018/11/7,0,0,0,,2014/11/7,0.1,0,0,,2015/11/7,1.3,0.7,1.2,,2016/11/7,0,0,0,,2017/11/7,0,0,0
2020/11/8,0,0,0,,,2019/11/8,0.6,0.5,1.8,,,2018/11/8,0,0,0,,2014/11/8,0.2,0.2,1.6,,2015/11/8,0,0,0,,2016/11/8,0,0,0,,2017/11/8,0,0,0
2020/11/9,0,0,0,,,2019/11/9,4.7,1.5,1.9,,,2018/11/9,1.5,1,1,,2014/11/9,3.3,1.4,1.3,,2015/11/9,0,0,0,,2016/11/9,0,0,0,,2017/11/9,0,0,0
2020/11/10,0,0,0,,,2019/11/10,0,0,0,,,2018/11/10,2.4,1.1,1.3,,2014/11/10,0,0,0,,2015/11/10,0,0,0,,2016/11/10,0,0,0,,2017/11/10,0,0,0
2020/11/11,0,0,0,,,2019/11/11,0.8,0,0,,,2018/11/11,0,0,0,,2014/11/11,0,0,0,,2015/11/11,3.9,2.8,3.4,,2016/11/11,0,0,0,,2017/11/11,0,0,0
2020/11/12,0,0,0,,,2019/11/12,0,0,0,,,2018/11/12,0,0,0,,2014/11/12,0,0,0,,2015/11/12,0.1,0,0,,2016/11/12,0,0,0,,2017/11/12,0.1,0,0
2020/11/13,0,0,0,,,2019/11/13,0,0,0,,,2018/11/13,0,0,0,,2014/11/13,0,0,0,,2015/11/13,0,0,0,,2016/11/13,0,0,0,,2017/11/13,0,0,0
