time,RPH,RPH_ld,RPH_jy,,,time,RPH,RPH_ld,RPH_jy,,,time,RPH,RPH_ld,RPH_jy,,time,RPH,RPH_ld,RPH_jy,,,,,,,,,,,,,,,
2020/11/28,0,0,0,,,2019/11/28,0.5,0.2,1.8,,,2018/11/28,0,0,0,,2014/11/28,0.8,1.1,0.4,,2015/11/28,0,0,0,,2016/11/28,1.7,0.7,0.5,,2017/11/28,0,0,0
2020/11/29,0.1,0,0,,,2019/11/29,4.1,2.3,4.5,,,2018/11/29,0,0,0,,2014/11/29,1.8,0.2,0,,2015/11/29,0,0,0,,2016/11/29,0,0,0,,2017/11/29,0,0,0
2020/11/30,0,0,0.3,,,2019/11/30,0,0,0,,,2018/11/30,0,0,0,,2014/11/30,0,0,0,,2015/11/30,0,0,0,,2016/11/30,0,0,0,,2017/11/30,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average,489.2,326.6,469.3,,,,499.9,376.6,570.2,,,,300.4,182.8,368.8,,,378.7,261.2,357.8,,,269.7,179.1,310.6,,,206.5,128,179.5,,,371.5,252.3,350.1
add_19,-2%,-13%,-18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.62849534,0.786652079,0.272505423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
