stationID,lon,lat,altitude,siteLevel,totalCloud,WD,WV,airPressure,Transformation_3h,pastWeather1,pastWeather2,rainfall_6h,lowCloudiness,lowCloudCover,lowCloudHigh,dewPoint,visibility,currentWeather,temperature,midCloudiness,highCloudiness,flag1,flag2,temperatureChange_24h,transformer_24h,year,month,day,hour
52787,102.87,37.2,3045,4,9,140,9,9999,14,0,0,0,9999,9999,9999,-1,21,0,11,9999,9999,1,2,9999,9999,2018,5,31,23
52787,102.87,37.2,3045,4,9,160,4,9999,-1,0,0,0,9999,9999,9999,0.1,25,0,8.1,9999,9999,1,2,0,0,2018,6,1,2
52787,102.87,37.2,3045,4,9,360,5,9999,-7,0,0,0,9999,9999,9999,-1.9,29,0,9.4,9999,9999,1,2,6,0,2018,6,1,5
52787,102.87,37.2,3045,4,7,360,13,9999,6,0,0,0,9999,7,1500,-2.5,21,0,11.2,9999,9999,1,2,4,0,2018,6,1,8
52787,102.87,37.2,3045,4,7,360,12,9999,12,0,0,0,9999,7,1500,-2.1,19,0,12.9,9999,9999,1,2,9999,9999,2018,6,1,11
52787,102.87,37.2,3045,4,7,20,12,9999,6,0,0,0,9999,7,1000,-1.7,17,0,14.7,9999,9999,1,2,-1,3,2018,6,1,14
52787,102.87,37.2,3045,4,7,360,13,9999,2,0,0,0,9999,7,1000,-1.6,18,0,14.4,9999,9999,1,2,-2,4,2018,6,1,17
52787,102.87,37.2,3045,4,0,340,5,9999,11,0,0,0,9999,0,1000,-1.3,20,0,11,9999,9999,1,2,-2,4,2018,6,1,20
52787,102.87,37.2,3045,4,9,360,8,9999,11,0,0,0,9999,9999,9999,-2.2,21,0,9.4,9999,9999,1,2,9999,9999,2018,6,1,23
52787,102.87,37.2,3045,4,9,360,8,9999,-5,0,0,0,9999,9999,9999,-3.3,27,0,8.1,9999,9999,1,2,0,4,2018,6,2,2
52787,102.87,37.2,3045,4,9,360,4,9999,-5,0,0,0,9999,9999,9999,-4.1,27,0,6.9,9999,9999,1,2,-3,4,2018,6,2,5
52787,102.87,37.2,3045,4,0,320,6,9999,2,0,0,0,9999,0,9999,-2.2,21,0,7.5,9999,9999,1,2,-4,3,2018,6,2,8
52787,102.87,37.2,3045,4,2,340,7,9999,-4,0,0,0,9999,2,1000,-0.9,17,0,12.2,9999,9999,1,2,9999,9999,2018,6,2,11
52787,102.87,37.2,3045,4,3,340,11,9999,-7,0,0,0,9999,3,1000,-4.3,17,0,12.8,9999,9999,1,2,-2,1,2018,6,2,14
52787,102.87,37.2,3045,4,7,360,10,9999,-4,0,0,0,9999,7,1000,-6.8,17,0,10.4,9999,9999,1,2,-4,0,2018,6,2,17
52787,102.87,37.2,3045,4,7,340,11,9999,9,0,0,0,9999,7,1500,-6.6,24,0,5.9,9999,9999,1,2,-5,0,2018,6,2,20
52787,102.87,37.2,3045,4,9,360,7,9999,13,0,0,0,9999,9999,9999,-6.2,26,0,5.6,9999,9999,1,2,9999,9999,2018,6,2,23
52787,102.87,37.2,3045,4,9,290,6,9999,-6,0,0,0,9999,9999,9999,0,30,0,5.1,9999,9999,1,2,-3,0,2018,6,3,2
52787,102.87,37.2,3045,4,9,340,1,9999,-6,0,0,0,9999,9999,9999,0,30,0,3.5,9999,9999,1,2,-3,0,2018,6,3,5
52787,102.87,37.2,3045,4,8,290,4,9999,6,9999,9999,0.1,9999,8,1500,1.6,23,60,3.9,9999,9999,1,2,-4,0,2018,6,3,8
