year,month,day,hour,P,T,RH,RPH,WD,WV
2016,1,1,0,724,-7.1,43,0,338,4.2
2016,1,1,1,724.4,-6.4,47,0,309,4.1
2016,1,1,2,724.9,-7.2,58,0,273,4.8
2016,1,1,3,725.3,-5.3,53,0,263,4.3
2016,1,1,4,724.8,-3.4,40,0,217,5.2
2016,1,1,5,723.9,-1.9,28,0,229,5.2
2016,1,1,6,722.9,-0.7,20,0,223,6.8
2016,1,1,7,722.4,0,17,0,225,8
2016,1,1,8,722.4,0,18,0,233,7.8
2016,1,1,9,722.2,-1.1,18,0,230,9.1
2016,1,1,10,721.9,-2.5,22,0,218,10.1
2016,1,1,11,722.1,-3,18,0,227,11.2
2016,1,1,12,722,-3.2,17,0,224,12.7
2016,1,1,13,722,-3.6,17,0,228,12.6
2016,1,1,14,722.4,-3.5,27,0,225,13.3
2016,1,1,15,722.6,-4.1,47,0,228,12.4
2016,1,1,16,722.5,-4.3,55,0,224,11.5
2016,1,1,17,722.5,-3.9,54,0,228,10.1
2016,1,1,18,722.2,-3,42,0,237,10.8
2016,1,1,19,722.1,-2.4,32,0,228,8.5
2016,1,1,20,721.9,-1.7,28,0,229,8.6
2016,1,1,21,721.7,-0.8,17,0,231,6.6
2016,1,1,22,721.7,-0.6,15,0,237,4.6
2016,1,1,23,721.9,-1.6,16,0,206,3.4
2016,1,2,0,722.2,-1.2,14,0,216,3.2
2016,1,2,1,722.4,-0.8,15,0,202,2
2016,1,2,2,722.8,2,12,0,166,1.9
2016,1,2,3,722.8,3.4,12,0,172,2.2
2016,1,2,4,722.3,3.1,13,0,171,1.5
2016,1,2,5,721.4,2.7,16,0,222,2.7
2016,1,2,6,720.9,4.4,19,0,209,1.5
2016,1,2,7,720.6,2.5,19,0,84,3
2016,1,2,8,720.4,0.7,24,0,85,2.8
2016,1,2,9,720.3,-0.4,24,0,89,4.2
2016,1,2,10,720.5,-2.1,29,0,63,5.7
2016,1,2,11,721,-3.1,31,0,65,6.3
2016,1,2,12,721.2,-3.7,31,0,60,7.4
2016,1,2,13,721.5,-4.2,31,0,54,7.1
2016,1,2,14,721.8,-4.7,30,0,50,6
2016,1,2,15,722,-5,34,0,38,7.1
2016,1,2,16,721.9,-5.1,26,0,42,6.5
2016,1,2,17,721.6,-5,24,0,33,7.2
2016,1,2,18,721.5,-4.9,23,0,28,7.9
2016,1,2,19,721.5,-4.9,22,0,33,6.1
2016,1,2,20,721.3,-4.5,20,0,23,7.2
2016,1,2,21,721.1,-5.4,22,0,44,5.5
2016,1,2,22,721.3,-5.3,25,0,37,6.1
2016,1,2,23,721.4,-6.1,34,0,35,7.5
2016,1,3,0,721.9,-6.6,39,0,49,6.6
2016,1,3,1,722.3,-5.7,38,0,53,5.4
2016,1,3,2,722.4,-3.5,29,0,75,4.6
2016,1,3,3,722.5,-2,27,0,75,4
2016,1,3,4,721.9,-1,27,0,78,3.5
2016,1,3,5,721.1,-0.9,30,0,78,3
2016,1,3,6,720.4,-0.4,25,0,65,2.3
2016,1,3,7,720.3,-1,28,0,85,2.1
2016,1,3,8,720.3,-2,33,0,54,3.6
2016,1,3,9,720.2,-3.6,37,0,71,3.9
2016,1,3,10,720.4,-4.9,37,0,36,4.3
2016,1,3,11,720.7,-5.4,39,0,58,4.8
2016,1,3,12,721.3,-4.9,40,0,61,5.7
2016,1,3,13,721.6,-4.6,47,0,64,5.2
2016,1,3,14,721.6,-4.6,45,0,69,4.5
2016,1,3,15,721.5,-4.8,48,0,77,4.2
2016,1,3,16,721.3,-5.4,47,0,73,3.2
2016,1,3,17,721,-5.8,44,0,80,4.3
2016,1,3,18,720.6,-6.1,40,0,82,4.7
2016,1,3,19,720.4,-5.9,38,0,93,3.7
2016,1,3,20,720.3,-5.3,35,0,104,2.7
2016,1,3,21,720,-5.9,36,0,217,1.5
2016,1,3,22,719.7,-5.9,41,0,217,3.4
2016,1,3,23,720,-5.9,35,0,218,5.3
2016,1,4,0,720,-6.2,61,0,222,6.5
2016,1,4,1,720.3,-5.9,66,0,217,5.6
2016,1,4,2,720.8,-4.8,65,0,212,4.9
2016,1,4,3,720.9,-4.1,58,0,218,4.5
2016,1,4,4,720.6,-3.2,53,0,222,5.1
2016,1,4,5,719.8,-2.6,43,0,225,4.2
2016,1,4,6,719.1,-2.2,39,0,232,4.5
2016,1,4,7,718.8,-1.8,36,0,228,3.4
2016,1,4,8,719.1,-2.6,37,0,266,2.7
2016,1,4,9,719,-3,41,0,256,2.3
2016,1,4,10,719,-6.5,57,0,86,3.5
2016,1,4,11,719.1,-8.8,64,0,68,6.3
2016,1,4,12,719.3,-9.1,54,0,61,7
2016,1,4,13,719.7,-9.5,59,0,53,6.9
2016,1,4,14,720.4,-9.7,60,0,59,5.2
2016,1,4,15,720.3,-9.2,63,0,31,8.5
2016,1,4,16,720.1,-9.2,65,0,44,6.5
2016,1,4,17,719.6,-9.5,68,0,71,4.6
2016,1,4,18,719.2,-9.5,74,0,89,5.2
2016,1,4,19,718.8,-10.9,91,0.7,76,5.8
2016,1,4,20,718.4,-10.6,92,0,89,4.4
2016,1,4,21,718.2,-10.1,90,0,105,2.4
2016,1,4,22,717.9,-9.6,88,0,184,2.9
2016,1,4,23,717.6,-9.3,88,0,163,5
2016,1,5,0,718,-9.7,90,0,133,3.1
2016,1,5,1,718.3,-9,88,0,182,4.4
2016,1,5,2,718.3,-8.3,89,0,197,3.6
2016,1,5,3,718.2,-7.6,86,0,218,5.1
2016,1,5,4,717.8,-7.2,85,0,221,6.1
2016,1,5,5,717,-6.5,81,0,222,5.5
2016,1,5,6,716.8,-6.7,83,0,226,5.4
2016,1,5,7,716.9,-6.7,83,0,229,3.6
2016,1,5,8,717.3,-6.9,83,0,251,2
2016,1,5,9,717.7,-7.4,85,0,255,4.7
2016,1,5,10,718.1,-8.5,91,0,230,5
2016,1,5,11,718.7,-8.8,93,0,217,6.4
2016,1,5,12,719.3,-8.6,93,0,229,6.1
2016,1,5,13,719.7,-8.8,94,0,225,8.8
2016,1,5,14,720.1,-8.8,94,0,218,6.9
2016,1,5,15,720.5,-8.6,92,0,230,6.3
2016,1,5,16,720.7,-8.8,92,0,238,6.2
2016,1,5,17,720.7,-9.2,90,0,264,6.7
2016,1,5,18,720.7,-9.3,76,0,286,7.9
2016,1,5,19,720.8,-9,50,0,294,6.6
2016,1,5,20,721,-8.9,43,0,302,7.7
2016,1,5,21,721.2,-8.9,42,0,296,7
2016,1,5,22,721.4,-9,40,0,296,6.7
2016,1,5,23,721.8,-9.1,44,0,300,7.5
2016,1,6,0,722.5,-9.4,47,0,300,7.2
2016,1,6,1,723.3,-9.2,47,0,312,3.9
2016,1,6,2,723.9,-7.2,43,0,353,1.4
2016,1,6,3,724.4,-6.1,50,0,65,1.6
2016,1,6,4,724,-5.7,45,0,35,2.5
2016,1,6,5,723.2,-5.5,48,0,73,2.6
