time,P,T,RH,RPH,WD,WV,year,month,day
2014-12-27,725.2583333333333,-9.329166666666667,58,0.0,296,9.625,2014,12,27
2014-12-28,721.6624999999997,-6.491666666666667,41,0.0,260,10.6625,2014,12,28
2014-12-29,719.0583333333334,-4.016666666666667,29,0.0,211,3.1875000000000013,2014,12,29
2014-12-30,722.4458333333333,-7.1125,28,0.0,298,6.499999999999999,2014,12,30
2014-12-31,30.15833333333333,-0.4625,1,0.0,10,0.3333333333333333,2014,12,31
2015-04-05,720.4833333333335,-2.604166666666667,76,12.2,73,7.725000000000001,2015,04,05
2015-04-06,723.0625,-5.683333333333334,94,1.4,83,2.970833333333333,2015,04,06
2015-04-07,722.9750000000003,-3.1125000000000007,93,0.0,183,3.766666666666667,2015,04,07
2015-04-08,722.0958333333334,-1.4875000000000005,83,0.2,75,4.404166666666667,2015,04,08
2015-04-09,724.0291666666667,-0.14583333333333334,72,0.1,212,4.425,2015,04,09
2015-04-10,724.9333333333334,1.1416666666666666,60,0.0,150,5.5541666666666645,2015,04,10
2015-04-11,727.2208333333333,-1.5458333333333334,45,0.0,303,8.029166666666667,2015,04,11
2015-04-12,727.6750000000003,-4.050000000000002,36,0.0,257,7.816666666666664,2015,04,12
2015-04-13,724.8083333333333,3.4916666666666663,28,0.0,171,5.65,2015,04,13
2015-04-14,720.9041666666667,5.866666666666667,31,0.0,219,5.916666666666668,2015,04,14
2015-04-15,721.8666666666667,7.104166666666668,32,0.0,149,7.1000000000000005,2015,04,15
2015-04-16,717.854166666667,8.295833333333333,53,0.0,188,7.762500000000002,2015,04,16
2015-04-17,716.0375000000003,5.604166666666668,79,17.4,92,5.945833333333334,2015,04,17
2015-04-18,719.1875,-1.341666666666666,99,4.4,73,5.004166666666666,2015,04,18
2015-04-19,721.2958333333332,1.2749999999999997,83,0.0,90,5.054166666666667,2015,04,19
2015-04-20,721.9291666666667,-1.4833333333333332,96,13.3,151,5.3625,2015,04,20
2015-04-21,725.8416666666666,1.5875,57,0.0,146,4.1125,2015,04,21
2015-04-22,724.5499999999997,2.9,60,0.0,231,7.841666666666668,2015,04,22
2015-04-23,726.9875000000003,6.2125,48,0.0,93,2.5791666666666666,2015,04,23
2015-04-24,727.8583333333335,6.266666666666668,54,0.2,152,3.533333333333333,2015,04,24
2015-04-25,725.2916666666665,4.929166666666666,71,0.0,178,6.5666666666666655,2015,04,25
2015-04-26,722.8708333333333,7.575,59,0.0,252,5.8875,2015,04,26
2015-04-27,723.3791666666666,11.570833333333333,27,0.0,236,3.774999999999999,2015,04,27
2015-04-28,723.975,12.445833333333335,32,0.0,140,4.6125,2015,04,28
2015-04-29,721.4291666666667,10.775,53,0.0,192,7.2666666666666675,2015,04,29
2015-04-30,720.625,1.7833333333333334,91,6.599999999999999,202,8.1,2015,04,30
2015-05-01,721.25,5.404166666666668,48,0.0,78,5.625,2015,05,01
2015-05-02,722.2624999999997,5.7250000000000005,63,2.8000000000000003,81,6.8874999999999975,2015,05,02
2015-05-03,724.9208333333332,4.025,65,0.5,76,5.516666666666668,2015,05,03
2015-05-04,721.725,5.829166666666668,58,0.0,207,5.7624999999999975,2015,05,04
2015-05-05,718.7333333333335,4.145833333333333,68,0.8,236,5.000000000000001,2015,05,05
2015-05-06,719.8166666666666,5.695833333333336,47,0.1,166,6.125,2015,05,06
2015-05-07,721.8291666666668,2.7875,59,2.3,205,6.174999999999998,2015,05,07
2015-05-08,720.2708333333335,6.458333333333331,54,5.6000000000000005,253,6.124999999999999,2015,05,08
2015-05-09,717.5041666666666,7.870833333333331,60,1.9,205,8.450000000000001,2015,05,09
2015-05-10,722.7583333333333,-2.3083333333333336,65,5.1,287,7.437499999999999,2015,05,10
2015-05-11,721.4625,1.6416666666666664,41,0.0,263,8.616666666666665,2015,05,11
2015-05-12,718.5166666666665,9.516666666666666,42,0.0,231,8.408333333333333,2015,05,12
2015-05-13,718.9791666666665,13.754166666666665,29,0.0,79,5.929166666666666,2015,05,13
2015-05-14,723.9833333333332,9.379166666666666,44,0.0,123,6.308333333333331,2015,05,14
2015-05-15,725.6291666666666,9.629166666666666,37,0.0,97,6.008333333333336,2015,05,15
2015-05-16,721.3291666666669,6.370833333333333,80,0.0,235,7.808333333333333,2015,05,16
2015-05-17,720.0666666666667,11.5375,46,0.0,225,5.541666666666665,2015,05,17
2015-05-18,720.1791666666667,12.395833333333336,59,0.0,227,5.404166666666666,2015,05,18
2015-05-19,722.7791666666667,9.591666666666667,73,0.4,69,8.770833333333332,2015,05,19
2015-05-20,722.5041666666667,3.9375,82,20.5,133,6.7333333333333325,2015,05,20
2015-05-21,723.35,3.6125,96,0.0,212,5.4416666666666655,2015,05,21
2015-05-22,722.8291666666668,8.462499999999999,63,0.0,115,4.520833333333333,2015,05,22
2015-05-23,721.3083333333334,10.254166666666666,57,0.0,127,5.216666666666666,2015,05,23
2015-05-24,720.2833333333333,9.5125,78,0.0,168,4.170833333333333,2015,05,24
2015-05-25,719.8791666666667,7.0791666666666675,81,0.0,163,6.020833333333332,2015,05,25
2015-05-26,720.4249999999997,7.35,94,0.0,238,3.4791666666666674,2015,05,26
2015-05-27,719.7125000000003,10.741666666666667,78,4.0,54,7.812500000000001,2015,05,27
2015-05-28,720.2791666666667,4.466666666666666,96,13.0,121,7.341666666666668,2015,05,28
2015-05-29,722.8875000000003,8.9625,61,0.0,137,4.641666666666667,2015,05,29
2015-05-30,722.0624999999999,9.866666666666664,64,0.0,216,4.562500000000001,2015,05,30
2015-05-31,718.9874999999997,6.4833333333333325,96,27.5,150,7.754166666666667,2015,05,31
2015-06-01,720.7291666666665,8.266666666666667,85,0.1,52,7.933333333333334,2015,06,01
2015-06-02,723.1333333333333,7.849999999999999,76,0.0,98,7.354166666666668,2015,06,02
2015-06-03,724.6750000000003,4.941666666666666,92,2.4000000000000004,207,5.7333333333333325,2015,06,03
2015-06-04,723.4375,7.745833333333333,41,0.0,276,8.283333333333333,2015,06,04
2015-06-05,721.0875,11.4,44,0.0,184,5.958333333333332,2015,06,05
2015-06-06,721.4,11.837500000000004,46,0.0,104,5.491666666666666,2015,06,06
2015-06-07,722.8208333333333,7.295833333333332,72,0.0,228,5.270833333333334,2015,06,07
2015-06-08,720.8125,10.716666666666667,49,0.0,236,7.8916666666666675,2015,06,08
2015-06-09,719.8541666666665,9.933333333333334,66,8.7,229,7.233333333333332,2015,06,09
2015-06-10,723.6166666666667,6.9416666666666655,43,0.0,305,8.804166666666667,2015,06,10
2015-06-11,723.4416666666666,10.566666666666666,35,0.0,237,4.95,2015,06,11
2015-06-12,722.7708333333335,11.299999999999995,32,0.0,87,4.145833333333334,2015,06,12
2015-06-13,721.9291666666664,11.2125,48,0.0,80,4.333333333333333,2015,06,13
2015-06-14,721.0541666666667,9.620833333333332,70,0.0,216,4.554166666666666,2015,06,14
2015-06-15,719.8833333333333,12.33333333333333,68,0.0,127,2.783333333333333,2015,06,15
2015-06-16,719.9833333333332,12.266666666666667,71,0.0,55,6.6750000000000025,2015,06,16
2015-06-17,722.2875,11.866666666666665,69,0.0,62,4.741666666666666,2015,06,17
2015-06-18,723.3666666666667,13.3375,63,0.0,110,4.370833333333335,2015,06,18
2015-06-19,723.5791666666668,11.866666666666665,69,0.1,142,4.437500000000001,2015,06,19
2015-06-20,722.4749999999997,7.633333333333334,90,0.1,152,5.462500000000001,2015,06,20
2015-06-21,720.0749999999997,11.845833333333333,72,0.0,224,6.645833333333332,2015,06,21
2015-06-22,718.3291666666665,8.85,99,41.8,110,6.875,2015,06,22
2015-06-23,719.3499999999997,9.645833333333334,99,12.8,182,3.083333333333334,2015,06,23
2015-06-24,719.7083333333335,10.295833333333333,98,0.8,128,4.033333333333334,2015,06,24
2015-06-25,718.1291666666666,13.095833333333335,82,0.0,150,4.383333333333334,2015,06,25
2015-06-26,716.4458333333333,11.745833333333332,98,1.2,140,4.4625,2015,06,26
2015-06-27,719.1166666666664,12.5375,99,1.1,144,6.133333333333333,2015,06,27
2015-06-28,720.1416666666668,12.74583333333333,98,17.800000000000004,180,4.966666666666666,2015,06,28
2015-06-29,721.7541666666667,12.629166666666668,89,0.0,75,6.504166666666666,2015,06,29
2015-06-30,723.1125000000003,12.654166666666665,71,0.0,175,6.320833333333334,2015,06,30
2015-07-01,722.1583333333333,14.179166666666667,57,0.0,69,2.9333333333333336,2015,07,01
2015-07-02,722.8499999999997,12.908333333333333,50,0.0,55,4.095833333333332,2015,07,02
2015-07-03,723.3625000000003,10.329166666666667,71,0.8999999999999999,166,4.304166666666667,2015,07,03
2015-07-04,723.5583333333334,10.425,85,1.1,202,3.5041666666666664,2015,07,04
2015-07-05,722.7041666666665,9.529166666666667,78,0.6,223,5.595833333333334,2015,07,05
2015-07-06,722.1166666666667,11.441666666666665,77,1.3,180,5.191666666666666,2015,07,06
2015-07-07,723.0749999999997,11.595833333333333,81,4.5,169,3.991666666666668,2015,07,07
2015-07-08,723.8041666666667,10.475,88,1.8000000000000005,102,5.345833333333334,2015,07,08
2015-07-09,725.5749999999997,8.1,89,11.4,129,3.266666666666667,2015,07,09
2015-07-10,723.2249999999997,11.462499999999995,79,0.0,198,5.3375,2015,07,10
2015-07-11,720.4166666666669,11.841666666666667,89,0.0,210,7.3625000000000025,2015,07,11
2015-07-12,722.1916666666666,12.075,78,0.0,200,6.020833333333335,2015,07,12
2015-07-13,722.3666666666667,14.595833333333333,64,0.0,144,5.125,2015,07,13
2015-07-14,722.8083333333334,10.1375,70,4.799999999999999,150,5.620833333333334,2015,07,14
2015-07-15,721.7708333333335,12.870833333333335,42,0.0,254,4.754166666666666,2015,07,15
2015-07-16,720.9041666666667,9.716666666666667,64,1.7000000000000002,241,4.970833333333333,2015,07,16
2015-07-17,720.5083333333333,10.925000000000002,62,1.7,261,6.1708333333333325,2015,07,17
2015-07-18,721.1208333333334,12.516666666666667,55,3.3,259,5.050000000000002,2015,07,18
2015-07-19,721.9416666666666,14.004166666666665,54,0.0,221,6.104166666666668,2015,07,19
2015-07-20,722.7333333333335,12.279166666666667,72,0.8999999999999999,222,6.120833333333335,2015,07,20
2015-07-21,723.1874999999999,12.200000000000005,67,8.5,224,4.983333333333333,2015,07,21
2015-07-22,723.7125,11.020833333333336,78,1.8,95,6.025000000000001,2015,07,22
2015-07-23,725.1916666666666,11.93333333333333,64,7.4,159,6.475000000000001,2015,07,23
2015-07-24,723.5708333333333,15.058333333333332,41,0.0,265,4.533333333333333,2015,07,24
2015-07-25,722.8541666666665,17.929166666666664,43,0.0,213,4.529166666666668,2015,07,25
2015-07-26,722.9166666666665,16.537499999999998,55,2.4,185,5.55,2015,07,26
2015-07-27,721.8041666666667,15.804166666666672,68,0.0,213,6.974999999999999,2015,07,27
2015-07-28,721.2958333333335,14.454166666666666,73,0.0,225,8.137500000000001,2015,07,28
2015-07-29,722.0958333333333,14.845833333333333,81,0.0,173,4.983333333333333,2015,07,29
2015-07-30,722.5041666666667,15.708333333333336,81,0.0,169,4.929166666666666,2015,07,30
2015-07-31,722.8458333333333,15.904166666666667,81,0.0,175,5.495833333333334,2015,07,31
2015-08-01,723.2958333333332,15.687500000000002,86,0.0,231,6.154166666666666,2015,08,01
2015-08-02,722.2791666666667,14.583333333333336,90,15.399999999999995,158,6.2666666666666675,2015,08,02
2015-08-03,722.2125000000003,10.208333333333332,73,18.6,49,8.075000000000001,2015,08,03
2015-08-04,722.7083333333335,11.945833333333335,65,0.1,263,4.495833333333334,2015,08,04
2015-08-05,722.6833333333333,15.004166666666668,48,0.0,209,3.7833333333333328,2015,08,05
2015-08-06,724.2500000000001,14.574999999999998,54,0.0,184,5.683333333333334,2015,08,06
2015-08-07,725.8916666666668,12.395833333333336,75,1.3,198,4.583333333333334,2015,08,07
2015-08-08,725.7416666666667,9.70416666666667,83,4.800000000000002,155,6.245833333333334,2015,08,08
2015-08-09,724.8625000000003,10.2625,93,3.0,144,4.341666666666667,2015,08,09
2015-08-10,723.9708333333334,11.7625,90,0.0,206,5.258333333333333,2015,08,10
2015-08-11,723.0124999999997,11.979166666666664,89,17.5,237,6.304166666666666,2015,08,11
2015-08-12,724.0541666666667,12.079166666666666,93,1.7000000000000002,174,4.104166666666667,2015,08,12
2015-08-13,724.2625000000003,8.749999999999998,87,0.9000000000000001,116,4.425,2015,08,13
2015-08-14,723.2749999999997,10.854166666666664,68,0.0,87,3.5625,2015,08,14
2015-08-15,722.6708333333332,12.5375,68,0.0,133,5.320833333333334,2015,08,15
2015-08-16,724.275,10.5,75,0.0,125,6.566666666666666,2015,08,16
2015-08-17,723.9041666666667,10.9875,83,0.0,130,2.3375,2015,08,17
2015-08-18,725.8083333333334,10.858333333333334,61,0.0,39,7.254166666666667,2015,08,18
2015-08-19,727.6541666666667,11.45833333333333,38,0.0,183,5.070833333333334,2015,08,19
2015-08-20,726.8541666666665,11.6,48,0.0,184,5.491666666666667,2015,08,20
2015-08-21,724.9499999999997,12.529166666666665,42,0.0,108,3.974999999999999,2015,08,21
2015-08-22,722.9666666666666,12.429166666666667,50,0.0,158,4.533333333333333,2015,08,22
2015-08-23,722.475,9.720833333333333,59,3.2,152,4.5125,2015,08,23
2015-08-24,723.4625,11.595833333333333,60,0.0,122,4.241666666666666,2015,08,24
2015-08-25,723.8916666666665,11.19166666666667,63,0.0,172,3.625,2015,08,25
2015-08-26,724.2708333333335,11.983333333333334,67,0.3,142,3.537500000000001,2015,08,26
2015-08-27,725.5124999999997,11.9875,61,0.0,107,3.6125,2015,08,27
2015-08-28,724.7916666666669,13.2375,49,0.0,125,3.9125,2015,08,28
2015-08-29,724.3208333333333,13.274999999999995,52,0.0,174,4.824999999999998,2015,08,29
2015-08-30,724.5583333333333,12.654166666666667,59,0.6,145,5.1125,2015,08,30
2015-08-31,725.2166666666666,11.958333333333336,54,0.0,79,5.425,2015,08,31
2015-09-01,724.6583333333333,11.337500000000004,70,0.0,99,5.570833333333333,2015,09,01
2015-09-02,724.3250000000003,8.604166666666666,93,10.499999999999998,148,9.341666666666663,2015,09,02
2015-09-03,722.6083333333335,9.05,95,30.2,215,7.754166666666664,2015,09,03
